County,John Patterson,Sherman Powell,A.W. Todd,Mrs. George Wallace,Charles Woods
Autauga,241,20,7,4041,283
Baldwin,548,39,116,9533,603
Barbour,240,13,15,5272,84
Bibb,280,5,31,3652,310
Blount ,201,50,92,3633,404
Bullock,85,6,4,1857,52
Butler,190,24,15,4911,336
Calhoun,664,40,167,14094,1176
Chambers,1177,20,44,5965,473
Cherokee,316,27,169,4219,103
Chilton,181,18,45,4577,250
Choctaw,112,31,27,3952,222
Clarke,293,26,30,5422,214
Clay,468,17,94,3102,362
Cleburne,462,13,81,3374,119
Coffee,260,27,15,6196,231
Colbert,175,99,337,8149,729
Conecuh,139,13,33,3748,151
Coosa,276,14,28,2506,387
Covington,527,27,43,9584,530
Crenshaw,262,39,25,4239,284
Cullman,163,381,131,3967,614
Dale,251,23,27,6309,364
Dallas,178,36,23,8033,504
Dekalb,414,29,85,4667,128
Elmore,680,44,31,7524,526
Escambia,263,47,97,7134,449
Etowah,726,62,291,14239,2065
Fayette,195,16,65,3366,301
Franklin,124,37,993,3886,230
Geneva,212,11,26,6566,242
Greene,90,9,7,1395,87
Hale,141,6,7,2819,79
Henry,165,1,16,3830,188
Houston,336,12,27,11968,689
Jackson,742,37,161,6277,49
Jefferson,3083,600,1545,62295,8116
Lamar,186,18,175,4589,134
Lauderdale,247,97,327,9716,817
Lawrence,251,625,107,5070,451
Lee,526,25,134,6138,431
Limestone,202,192,355,5202,473
Lowndes,199,4,1,1443,83
Macon,134,39,53,1594,88
Madison,1248,166,126,12098,1636
Marengo,116,20,19,4625,269
Marion,233,76,269,6133,474
Marshall,648,127,443,7609,808
Mobile,1538,161,282,36633,4276
Monroe,144,20,15,4752,143
Montgomery,2631,99,44,20493,1725
Morgan,291,3132,286,6902,810
Perry,121,14,15,2671,95
Pickens,159,26,119,4037,165
Pike,431,26,20,5021,326
Randolph,388,28,201,4699,187
Russell,1446,53,168,5888,207
Shelby,553,42,98,5858,671
St. Clair,251,32,157,4974,468
Sumter,111,18,15,2047,183
Talladega,480,47,118,9352,1383
Tallapoosa,1986,58,48,6473,1031
Tuscaloosa,815,45,153,13348,782
Walker,474,65,210,9450,678
Washington,100,23,23,4359,232
Wilcox,207,12,72,2554,117
Winston,35,22,10,812,71
Calculated,31011,7231,9013,480841,41148
Reported,31011,7231,9013,480841,41148
