Office,Treasurer,Unnamed: 2
Ballot Name,Charley Grimsley,Jeremy Sherer
Status,nominated,
Total,159141,106356
Percentage,0.5994079029141572,0.40059209708584276
Autauga,839,564
Baldwin,1404,914
Barbour,3356,1269
Bibb,455,238
Blount,487,455
Bullock,1367,1108
Butler,1603,1007
Calhoun,1661,1322
Chambers,1269,643
Cherokee,1253,758
Chilton,523,355
Choctaw,2057,1415
Clarke,2409,1095
Clay,1115,677
Cleburne,276,158
Coffee,847,342
Colbert,3951,2085
Conecuh,1701,958
Coosa,719,473
Covington,686,331
Crenshaw,1579,911
Cullman,1814,1332
Dale,755,294
Dallas,3809,5133
DeKalb,1927,1162
Elmore,1362,833
Escambia,945,440
Etowah,2248,1890
Fayette,3704,628
Franklin,2698,1806
Geneva,333,186
Greene,1553,1501
Hale,2017,887
Henry,1385,515
Houston,2005,1025
Jackson,1917,1446
Jefferson,22506,18398
Lamar,1580,589
Lauderdale,4302,2930
Lawrence,3095,1597
Lee,2616,1166
Limestone,1886,1108
Lowndes,1559,1201
Macon,2333,1289
Madison,5953,4803
Marengo,3334,1592
Marion,1893,1052
Marshall,981,714
Mobile,8441,5778
Monroe,1200,816
Montgomery,9677,5248
Morgan,1935,974
Perry,1185,1425
Pickens,2735,1138
Pike,717,415
Randolph,1440,805
Russell,2228,1771
Shelby,1930,1360
St. Clair,900,508
Sumter,2005,1586
Talladega,1808,1078
Tallapoosa,1171,789
Tuscaloosa,4031,2527
Walker,3250,3887
Washington,2603,1364
Wilcox,1542,2067
Winston,276,225
