 ,United States Senator,Unnamed: 2,Secretary of State,Unnamed: 4,State Treasurer,Unnamed: 6,State Auditor,Unnamed: 8
 ,Julian McPhillips,Susan Parker,Chris Pitts,Nancy Worley,Stephen Black,Carol Jean Smith,Debbie Tucker Corbett,Carolyn Gibson
COUNTY,,,,,,,,
Autauga,601,575,360,744,590,534,491,599
Baldwin,767,968,590,1097,666,1019,645,1015
Barbour,459,658,481,600,569,520,460,596
Bibb,261,484,348,384,475,258,259,462
Blount,99,414,127,376,270,227,168,306
Bullock,1251,1198,1242,910,1256,905,1111,903
Butler,2083,2425,1375,2665,2071,2085,944,3163
Calhoun,543,2100,1031,1500,1215,1373,986,1494
Chambers,681,1126,796,948,738,1002,861,871
Cherokee,1120,2950,1318,2438,1517,2407,1292,2352
Chilton,351,643,346,611,549,422,234,715
Choctaw,1366,2800,1933,2029,2234,1889,1188,2799
Clarke,1747,1620,1029,2102,1226,1880,985,1979
Clay,605,1534,761,1204,935,1134,702,1205
Cleburne,737,1903,949,1510,1093,1442,851,1534
Coffee,590,1188,442,1221,631,1040,346,1407
Colbert,1005,2438,1290,1988,1944,1350,947,2088
Conecuh,366,632,271,703,401,573,220,746
Coosa,489,1072,569,893,716,762,534,903
Covington,1369,2089,909,2279,1516,1658,993,2047
Crenshaw,1030,1548,597,1685,1208,1155,663,1570
Cullman,615,1539,515,1544,1147,906,836,1157
Dale,436,810,363,832,413,784,427,728
Dallas,4203,5975,5535,4150,6184,3553,4840,4532
DeKalb,1161,2973,1332,2596,2267,1767,1135,2638
Elmore,799,686,500,880,709,681,544,814
Escambia,389,512,290,579,350,511,279,579
Etowah,974,2648,1345,2132,1625,1886,1142,2207
Fayette,1255,3765,1410,3115,2299,2311,1521,2913
Franklin,917,3201,1219,2582,1860,2010,1262,2278
Geneva,125,190,117,198,111,204,106,203
Greene,662,2397,1844,1074,1554,1385,1025,1860
Hale,2321,1857,2614,1395,2761,1273,882,3072
Henry,450,694,442,631,287,812,401,630
Houston,406,726,360,748,440,634,441,619
Jackson,291,932,229,968,546,648,273,860
Jefferson,15366,33792,26275,18654,28691,19680,15817,31062
Lamar,471,1400,559,1193,736,990,703,963
Lauderdale,1536,5861,2137,4582,3709,3103,2045,4041
Lawrence,1479,5589,2192,4190,4144,2443,2057,3765
Lee,618,1236,1384,457,1240,562,974,738
Limestone,185,1849,367,1488,1071,795,665,1064
Lowndes,2147,1541,2272,1099,2015,1324,1033,2066
Macon,2039,1149,1893,1167,1821,1183,1380,1590
Madison,2744,7646,3759,6109,5774,4061,2954,5872
Marengo,1395,2589,1722,2030,2225,1619,1178,2491
Marion,1227,5039,1971,3781,2699,3109,2033,3504
Marshall,645,1844,624,1699,998,1449,642,1501
Mobile,6376,5030,5528,4878,5576,5255,4014,6498
Monroe,942,999,711,1153,909,956,706,1132
Montgomery,8785,5114,6738,6226,7909,4958,4966,7818
Morgan,790,4916,1075,4243,2640,2459,1295,3414
Perry ,994,2505,2055,1337,2355,1055,684,2623
Pickens,962,2288,1406,1604,1516,1487,1190,1639
Pike,409,437,346,466,429,382,233,611
Randolph,643,1524,818,1213,1089,1005,659,1242
Russell,248,298,187,348,253,273,282,270
St. Clair,229,572,247,520,367,410,297,461
Shelby,259,1148,464,879,720,650,411,898
Sumter,873,3021,2376,1481,2573,1281,1450,2289
Talladega,525,1606,819,1243,1108,983,702,1324
Tallapoosa,545,1034,704,820,951,590,606,876
Tuscaloosa,2917,7091,3909,5158,5560,3801,2966,5745
Walker,2482,6003,2787,5109,4576,3515,3065,4493
Washington,2290,2013,1925,2214,1819,2291,1700,2347
Wilcox,1782,1604,1690,1485,1814,1384,999,2110
Winston,187,574,194,488,367,323,240,416
,,,,,,,,
,,,,,,,,
Totals,94614,176582,114013,138625,142027,116376,87940,158707
Percentage,0.34887682709184503,0.651123172908155,0.4512899880461372,0.5487100119538628,0.5496337116829139,0.4503662883170861,0.35654194050606736,0.6434580594939326
Vote Totals,271196,271196,252638,252638,258403,258403,246647,246647
