Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,Total Number of Votes,Absentee,CENTRAL ACTIVITIES CENTER #1,CENTRAL ACTIVITIES CENTER #2,CHATTAHOOCHEE VALLEY,COTTONTON FIRE STATION,CRAWFORD FIRE STATION,DIXIE VOLUNTEER FIRE STA.,Fire Dept- HURTSBORO,FT. MITCHELL R.O.T.C. BLDG,HATCHECHUBBEE FIRE STATION,HURTSBORO FIRE DEPT,LADONIA FIRE STATION #1,LADONIA FIRE STATION #2,MOTHER MARY SCHOOL,PITTSVIEW FIRE STATION,ROY MARTIN CENTER #1,ROY MARTIN CENTER #2,RUSSELL COUNTY COURTHOUSE,SEALE-OLD RUSSELL COURTHOUSE,SPENCER RECREATION CENTER
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,
57,RUSSELL,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,10812,214,900,536,468,404,949,191,0,377,153,573,728,696,445,290,1161,816,358,542,1011
57,RUSSELL,GOVERNOR,DEM,"Siegelman, Don",6694,94,523,302,348,255,514,88,0,238,108,442,355,321,420,234,525,344,304,355,924
57,RUSSELL,GOVERNOR,LIB,"Sophocleus, John P.",90,4,6,7,1,12,2,2,0,4,1,1,8,7,3,3,8,12,0,7,2
57,RUSSELL,GOVERNOR,REP,"Riley, Bob",3942,102,367,223,115,137,431,99,0,131,42,129,357,365,18,50,618,452,52,173,81
57,RUSSELL,GOVERNOR,WI,WRITE-IN,24,0,2,2,1,0,1,0,0,2,0,0,2,1,1,1,5,2,1,2,1
57,RUSSELL,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",6603,96,532,297,338,244,481,102,0,218,108,443,337,341,408,221,530,355,295,352,905
57,RUSSELL,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",180,6,13,10,3,14,12,2,0,8,0,5,28,12,9,6,16,13,3,9,11
57,RUSSELL,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",3706,96,329,213,120,139,415,84,0,145,41,118,346,320,15,52,581,420,42,163,67
57,RUSSELL,LIEUTENANT GOVERNOR,WI,WRITE-IN,33,0,2,0,2,0,5,0,0,0,1,0,5,3,0,1,5,6,1,1,1
57,RUSSELL,UNITED STATES SENATOR,DEM,"Parker, Susan",5976,91,472,262,325,224,403,90,0,197,94,429,292,281,410,219,426,256,284,322,899
57,RUSSELL,UNITED STATES SENATOR,LIB,"Allen, Jeff",164,2,12,11,7,8,14,1,0,8,0,1,15,14,6,5,14,18,8,8,12
57,RUSSELL,UNITED STATES SENATOR,REP,"Sessions, Jeff",4379,106,395,245,132,167,494,97,0,165,55,132,405,386,17,54,695,515,50,194,75
57,RUSSELL,UNITED STATES SENATOR,WI,WRITE-IN,18,1,1,0,0,0,2,0,0,1,0,0,1,3,0,1,2,3,0,2,1
