County,Jim Partain (AP),Elvin McCary (AR),George Wallace (D)
Autauga,88,746,3868
Baldwin,200,1665,10701
Barbour,102,294,4319
Bibb,13,157,2722
Blount,94,1254,6571
Bullock,78,427,2540
Butler,62,377,3395
Calhoun,249,2665,13887
Chambers,141,511,5842
Cherokee,47,295,2614
Chilton,43,994,4779
Choctaw,47,114,4403
Clarke,54,367,4651
Clay,33,330,2803
Cleburne,28,273,1372
Coffee,134,675,6460
Colbert,153,718,5047
Conecuh,22,208,2346
Coosa,39,245,1770
Covington,37,601,4918
Crenshaw,26,298,2427
Cullman,122,3533,10451
Dale,96,520,4782
Dallas,81,920,7168
Dekalb,97,3120,8200
Elmore,155,1145,5454
Escambia,53,476,6399
Etowah,250,1382,13053
Fayette,20,266,2091
Franklin,64,963,4137
Geneva,27,191,3757
Greene,19,76,1820
Hale,68,263,3000
Henry,27,123,2139
Houston,75,614,6959
Jackson,65,270,3604
Jefferson,3483,22555,88571
Lamar,15,84,2074
Lauderdale,209,1130,5895
Lawrence,17,167,2766
Lee,151,935,4562
Limestone,72,306,4076
Lowndes,58,348,3196
Macon,187,722,2799
Madison,858,6046,26189
Marengo,51,254,4967
Marion,85,577,5497
Marshall,121,909,4855
Mobile,1236,6264,52039
Monroe,28,474,3965
Montgomery,906,8291,22488
Morgan,211,1229,7737
Perry,22,178,2813
Pickens,25,136,3346
Pike,130,789,4972
Randolph,57,290,2775
Russell,89,256,3335
Shelby,290,1498,8129
St. Clair,159,911,4474
Sumter,6,91,3363
Talladega,229,865,8267
Tallapoosa,95,584,4055
Tuscaloosa,509,2094,12080
Walker,67,1234,8415
Washington,25,156,3488
Wilcox,7,113,2763
Winston,43,1819,3174
Calculated,12350,88381,497574
Reported,12350,88381,497574
