Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,Reported Number of Votes,Calculated Number of Votes,Absentee,Armory-1,Armory-2,Beatrice,Bermuda,Bethel Bapt. Ch.,Buena Vista/Vredenburgh,Burnt Corn,Bursonville,Coleman School House,Eliska,Excel,Fountain & Ridge,Franklin Fire Station,Frisco City,Goodway Fire Station,Grimes,Lower Peachtree,Magargel,McGill,Mexia Fire Station,Midway/McClammy,Monroeville Coliseum,Monroeville Fire Sta.,Oak Grove,Monroeville Dept. of Revenue,Perdue Hill/Manistee,Peterman,Simpkinsville/Old Texas,Tinela/Hybart,Tunnell Springs,Uriah,Wainwright
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MONROE,STATE TREASURER,REP,"Ivey, Kay",4273,4273,201,440,365,82,42,6,24,17,9,89,52,651,18,100,275,147,15,6,47,69,335,27,184,244,100,136,82,112,30,13,41,251,63
50,MONROE,STATE TREASURER,WI,WRITE-IN,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
50,MONROE,STATE AUDITOR,DEM,"Gibson, Carolyn",3369,3369,120,175,152,294,26,362,115,82,26,14,71,128,96,48,252,28,36,131,13,26,125,3,247,122,39,60,116,180,1,4,111,104,62
50,MONROE,STATE AUDITOR,LIB,"Reeves, Franklin",182,182,5,12,11,4,3,6,3,0,0,6,0,19,3,4,16,8,2,1,2,0,13,1,12,16,5,4,3,4,0,0,2,14,3
50,MONROE,STATE AUDITOR,REP,"Chapman, Beth",4201,4201,180,429,361,76,42,6,19,18,5,91,55,647,18,88,283,148,19,2,49,64,346,24,182,242,103,132,82,108,30,14,30,250,58
50,MONROE,STATE AUDITOR,WI,WRITE-IN,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,MONROE,COMMISSIONER OF AG. & INDUSTRIES,DEM,"Sparks, Ron",4223,4223,136,240,204,301,38,364,116,83,28,45,94,245,94,68,313,85,47,130,29,37,195,7,278,169,54,81,130,200,8,10,114,200,80
50,MONROE,COMMISSIONER OF AG. & INDUSTRIES,LIB,"Hulcher, Maude G.",130,130,6,11,6,4,2,6,0,0,0,1,1,19,6,2,14,5,0,0,1,2,12,2,6,4,0,3,1,2,0,0,3,10,1
50,MONROE,COMMISSIONER OF AG. & INDUSTRIES,REP,"Alley, J. Lee",3387,3387,161,361,305,70,30,4,22,16,5,67,33,519,16,72,221,97,13,4,37,53,280,20,158,199,94,112,67,90,22,9,27,164,39
50,MONROE,COMMISSIONER OF AG. & INDUSTRIES,WI,WRITE-IN,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
50,MONROE,"PUBLIC SERVICE COMMISSION, PLACE #1",DEM,"Cook, Jan",4607,4707,155,289,250,309,44,367,222,87,27,35,96,303,97,86,344,96,43,132,29,45,212,12,301,189,64,89,148,206,14,12,119,194,91
50,MONROE,"PUBLIC SERVICE COMMISSION, PLACE #1",LIB,"Clark, Dick",129,129,6,14,6,1,0,4,0,0,1,3,1,14,3,1,15,4,1,0,1,0,13,1,6,9,1,3,0,5,0,0,2,12,2
50,MONROE,"PUBLIC SERVICE COMMISSION, PLACE #1",REP,"Martin, Charles B.",3111,3111,146,329,270,64,27,3,18,12,5,75,32,486,16,59,194,91,15,2,39,49,262,16,141,181,86,108,53,81,18,7,25,167,34
50,MONROE,"PUBLIC SERVICE COMMISSION, PLACE #1",WI,WRITE-IN,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,MONROE,"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",3197,3197,107,174,134,291,24,362,115,82,26,18,66,106,90,36,232,23,35,130,9,18,107,2,245,127,32,54,110,175,1,5,105,94,62
50,MONROE,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",143,143,7,17,5,1,1,6,0,1,0,1,1,16,5,2,10,7,4,2,1,0,18,1,5,5,1,5,3,3,0,0,2,11,2
