Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,SECRETARY OF STATE,SECRETARY OF STATE,SECRETARY OF STATE,SECRETARY OF STATE,SECRETARY OF STATE
,DEM,LIB,REP,WI,TBC
,"Worley, Nancy L.","Bodenhausen, Mark","Thomas, Dave",WRITE-IN,TOTAL VOTES CAST
STATE TOTAL,632852,25386,630863,1179,1290280
Autauga,5121,260,8679,24,14084
Baldwin,11522,1284,30466,62,43334
Barbour,4541,121,2772,9,7443
Bibb,3061,98,2870,0,6029
Blount,5032,335,9358,14,14739
Bullock,2432,45,802,0,3279
Butler,3551,85,2716,9,6361
Calhoun,15509,671,15164,65,31409
Chambers,4922,136,4050,0,9108
Cherokee,3407,113,2193,6,5719
Chilton,5179,239,7394,21,12833
Choctaw,2800,47,1828,0,4675
Clarke,4396,69,3735,7,8207
Clay,2223,108,2344,4,4679
Cleburne,2102,114,2153,6,4375
Coffee,5542,228,6354,13,12137
Colbert,9801,254,6277,17,16349
Conecuh,2890,73,1589,5,4557
Coosa,2485,88,1553,8,4134
Covington,5139,172,5101,22,10434
Crenshaw,2215,61,1758,4,4038
Cullman,10965,603,13032,42,24642
Dale,4662,219,6434,22,11337
Dallas,10137,192,5157,20,15506
DeKalb,7393,249,8387,1,16030
Elmore,7159,449,12676,46,20330
Escambia,3919,108,4276,13,8316
Etowah,16419,612,13367,33,30431
Fayette,3915,145,2592,5,6657
Franklin,4645,160,3166,13,7984
Geneva,2740,132,4358,11,7241
Greene,3345,22,660,3,4030
Hale,4175,54,1693,8,5930
Henry,2565,74,2363,5,5007
Houston,8833,341,14797,49,24020
Jackson,6860,241,4613,14,11728
Jefferson,110811,3892,94158,77,208938
Lamar,2918,67,2392,0,5377
Lauderdale,13438,476,10851,34,24799
Lawrence,6607,186,3148,24,9965
Lee,12391,731,14818,0,27940
Limestone,9560,395,9464,32,19451
Lowndes,3457,66,1251,3,4777
Macon,5824,84,822,6,6736
Madison,41564,2405,40824,114,84907
Marengo,4518,76,2907,9,7510
Marion,5197,199,4231,19,9646
Marshall,10101,572,11160,25,21858
Mobile,43540,2121,54181,7,99849
Monroe,3788,109,3795,8,7700
Montgomery,34739,959,28618,10,64326
Morgan,17466,694,16621,0,34781
Perry ,3649,34,1092,2,4777
Pickens,3738,85,2503,1,6327
Pike,3859,125,3867,9,7860
Randolph,3508,126,3112,0,6746
Russell,6387,173,3694,14,10268
Shelby,12406,1007,34627,55,48095
St. Clair,6585,446,12261,26,19318
Sumter,3764,48,1103,1,4916
Talladega,11587,376,9310,50,21323
Tallapoosa,6862,232,6574,19,13687
Tuscaloosa,22113,798,20745,17,43673
Walker,11570,374,7992,16,19952
Washington,3332,108,2360,10,5810
Wilcox,3118,46,1193,2,4359
Winston,2853,174,4462,8,7497
