County,Twinkle Andress,Kay Ivey,Lisa Wallace,Unnamed: 4,Unnamed: 5,Unnamed: 6
Autauga,2038,1754,596,,,
Baldwin,6079,12303,6119,,,
Barbour,62,70,19,,,
Bibb,370,242,161,,,
Blount ,1341,2147,1835,,,
Bullock,26,15,6,,,
Butler,109,118,24,,,
Calhoun,1736,1805,1022,,,
Chambers,190,147,62,,,
Cherokee,47,39,9,,,
Chilton,944,1709,1178,,,
Choctaw,10,5,4,,,
Clarke,228,399,178,,,
Clay,388,67,52,,,
Cleburne,156,127,159,,,
Coffee,498,336,134,,,
Colbert,303,343,217,,,
Conecuh,52,94,43,,,
Coosa,102,103,44,,,
Covington,310,234,102,,, 
Crenshaw,73,28,16,,,
Cullman,1609,594,220,,,
Dale,428,325,177,,,
Dallas,104,82,38,,,
Dekalb,795,578,301,,,
Elmore,2973,3354,1301,,,
Escambia,143,682,361,,,
Etowah,1001,1118,580,,,
Fayette,92,42,18,,,
Franklin,84,18,26,,,
Geneva,681,1521,1322,,,
Greene,28,1,5,,,
Hale,16,9,5,,,
Henry,46,65,22,,,
Houston,1345,1557,744,,,
Jackson,160,167,94,,,
Jefferson,13967,13495,5652,,,
Lamar,36,26,23,,,
Lauderdale,579,285,196,,,
Lawrence,71,29,32,,,
Lee,1834,957,202,,,
Limestone,498,285,169,,,
Lowndes,65,59,20,,,
Macon,41,136,66,,,
Madison,3887,6400,3956,,,
Marengo,54,63,39,,,
Marion,341,97,82,,,
Marshall,806,446,243,,,
Mobile,9435,16899,8296,,,
Monroe,266,757,292,,,
Montgomery,6757,5718,783,,,
Morgan,1452,2529,1825,,,
Perry,15,13,3,,,
Pickens,77,38,15,,,
Pike,404,359,83,,,
Randolph,109,43,41,,,
Russell,118,36,27,,,
Shelby,5488,6289,2797,,,
St. Clair,2146,3434,2460,,,
Sumter,2,6,2,,,
Talladega,573,544,296,,,
Tallapoosa,521,379,182,,,
Tuscaloosa,4321,1270,906,,,
Walker,376,208,201,,,
Washington,72,105,66,,,
Wilcox,6,235,7,,,
Winston,1140,348,206,,,
Calculated,80024,93686,46362,,,
Reported,80024,93686,46363,,,
