Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,"PUBLIC SERVICE COMMISSION, PLACE #2","PUBLIC SERVICE COMMISSION, PLACE #2","PUBLIC SERVICE COMMISSION, PLACE #2","PUBLIC SERVICE COMMISSION, PLACE #2","PUBLIC SERVICE COMMISSION, PLACE #2"
,DEM,LIB,REP,WI,TBC
,"Pierce, Greg","Abernathy, Matthew B. ""Cardy""","Wallace, George C., Jr.",WRITE-IN,TOTAL VOTES CAST
STATE TOTAL,526721,37262,734720,1264,1299967
Autauga,3301,455,10485,26,14267
Baldwin,10098,1764,31439,60,43361
Barbour,3401,136,4181,3,7721
Bibb,2228,145,3711,0,6084
Blount,4064,546,10210,19,14839
Bullock,2081,56,1150,0,3287
Butler,2691,108,3728,14,6541
Calhoun,12767,1078,17858,56,31759
Chambers,4206,173,4841,0,9220
Cherokee,2746,157,2861,6,5770
Chilton,3861,315,8904,35,13115
Choctaw,2260,52,2402,0,4714
Clarke,3665,113,4627,13,8418
Clay,1548,124,3188,1,4861
Cleburne,1412,157,2971,9,4549
Coffee,3930,266,8228,9,12433
Colbert,8568,325,7563,24,16480
Conecuh,2325,87,2253,12,4677
Coosa,2033,94,2065,7,4199
Covington,3248,185,7411,11,10855
Crenshaw,1354,73,2748,14,4189
Cullman,8179,895,15635,36,24745
Dale,3479,302,7820,10,11611
Dallas,8981,281,6314,20,15596
DeKalb,6442,389,9309,0,16140
Elmore,4715,600,15304,36,20655
Escambia,3136,154,5159,11,8460
Etowah,13510,876,16278,25,30689
Fayette,2630,203,3985,15,6833
Franklin,3798,154,4180,14,8146
Geneva,1831,156,5555,6,7548
Greene,3135,69,834,3,4041
Hale,3545,111,2411,5,6072
Henry,1940,115,3170,3,5228
Houston,6813,598,17122,28,24561
Jackson,5759,312,5713,17,11801
Jefferson,99694,5532,102703,200,208129
Lamar,2134,80,3181,0,5395
Lauderdale,11167,638,13179,38,25022
Lawrence,5147,210,4700,23,10080
Lee,10724,1119,16110,0,27953
Limestone,7325,624,11695,27,19671
Lowndes,3092,94,1599,7,4792
Macon,5402,149,1191,7,6749
Madison,36103,4444,43789,96,84432
Marengo,3935,120,3584,14,7653
Marion,4043,208,5561,16,9828
Marshall,7592,830,13473,24,21919
Mobile,40785,2910,57285,14,100994
Monroe,3197,143,4590,5,7935
Montgomery,28530,1437,35361,3,65331
Morgan,11945,1140,21416,0,34501
Perry ,3335,68,1411,4,4818
Pickens,3121,113,3152,1,6387
Pike,2971,145,4942,17,8075
Randolph,2744,161,4020,0,6925
Russell,5717,212,4396,12,10337
Shelby,10290,1763,35843,67,47963
St. Clair,5014,629,13588,36,19267
Sumter,3560,52,1279,1,4892
Talladega,9414,518,11629,32,21593
Tallapoosa,5782,308,7930,12,14032
Tuscaloosa,17625,1124,25248,24,44021
Walker,9144,475,10240,11,19870
Washington,2649,110,3171,9,5939
Wilcox,2777,72,1506,3,4358
Winston,2083,210,5335,13,7641
