County,Charley Baker (D),Pat Duncan (R)
Autauga,4770,6280
Baldwin,9244,21218
Barbour,3202,1950
Bibb,3197,2051
Blount ,5158,5842
Bullock,2197,872
Butler,3225,2471
Calhoun,12460,10643
Chambers,4509,3593
Cherokee,2908,1202
Chilton,5174,4909
Choctaw,2942,1133
Clarke,3570,2746
Clay,2214,1640
Cleburne,1672,936
Coffee,4962,4699
Colbert,7813,5674
Conecuh,2599,1450
Coosa,1923,1245
Covington,3546,3347
Crenshaw,1833,1088
Cullman,10740,10498
Dale,4338,5272
Dallas,8477,4833
Dekalb,7164,5955
Elmore,6181,8919
Escambia,3257,2753
Etowah,17884,11037
Fayette,2926,1941
Franklin,4522,2515
Geneva,2750,2427
Greene,3832,526
Hale,2870,1063
Henry,2778,2025
Houston,8055,11243
Jackson,5142,3109
Jefferson,88567,106802
Lamar,2638,1549
Lauderdale,10967,10148
Lawrence,5136,2558
Lee,7665,10981
Limestone,6617,6694
Lowndes,2680,1049
Macon,3926,1120
Madison,27806,40855
Marengo,4644,2178
Marion,5086,3235
Marshall,8307,7087
Mobile,35109,45018
Monroe,3177,2766
Montgomery,25833,28303
Morgan,11896,17106
Perry,3272,926
Pickens,4610,2096
Pike,3876,3527
Randolph,2264,1746
Russell,4630,3281
Shelby,7033,25242
St. Clair,6383,9418
Sumter,3374,887
Talladega,8532,8000
Tallapoosa,5519,5424
Tuscaloosa,17670,18290
Walker,10937,7029
Washington,3609,1861
Wilcox,3079,879
Winston,3336,4770
Calculated,518212,539930
Reported,518212,539930
