Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,COURT OF CIVIL APPEALS,COURT OF CIVIL APPEALS,COURT OF CIVIL APPEALS,COURT OF CIVIL APPEALS
,DEM,REP,WI,TBC
,"Toles, Vicky Underwood","Thompson, William ""Bill"" C.",WRITE-IN,TOTAL VOTES CAST
STATE TOTAL,543141,727156,1792,1272089
Autauga,3802,10153,36,13991
Baldwin,10503,32281,114,42898
Barbour,3826,3435,12,7273
Bibb,2418,3567,0,5985
Blount,4243,10238,38,14519
Bullock,2259,945,0,3204
Butler,2909,3291,10,6210
Calhoun,13378,17544,75,30997
Chambers,4536,4527,0,9063
Cherokee,2928,2646,14,5588
Chilton,4134,8538,25,12697
Choctaw,2459,2179,0,4638
Clarke,3662,4396,11,8069
Clay,1748,2925,2,4675
Cleburne,1743,2556,10,4309
Coffee,4246,7726,81,12053
Colbert,8413,7880,37,16330
Conecuh,2404,2022,8,4434
Coosa,2085,1999,5,4089
Covington,3621,6432,26,10079
Crenshaw,1641,2257,11,3909
Cullman,8526,15623,44,24193
Dale,3909,7320,19,11248
Dallas,9232,6049,26,15307
DeKalb,6379,9385,6,15770
Elmore,5478,14337,47,19862
Escambia,3158,5062,24,8244
Etowah,14089,15947,61,30097
Fayette,2910,3583,20,6513
Franklin,3932,3908,17,7857
Geneva,2100,5019,24,7143
Greene,3174,801,7,3982
Hale,3688,2199,9,5896
Henry,2121,2856,10,4987
Houston,7185,16652,69,23906
Jackson,5953,5464,17,11434
Jefferson,100079,106728,134,206941
Lamar,2425,2871,0,5296
Lauderdale,11311,12945,51,24307
Lawrence,5316,4342,22,9680
Lee,11206,16197,0,27403
Limestone,7669,11386,29,19084
Lowndes,3242,1442,6,4690
Macon,5597,1049,8,6654
Madison,34929,47796,188,82913
Marengo,4084,3340,11,7435
Marion,4329,5173,16,9518
Marshall,7738,13522,37,21297
Mobile,40713,57491,17,98221
Monroe,3278,4693,14,7985
Montgomery,30826,32326,2,63154
Morgan,12234,21482,0,33716
Perry ,3383,1354,4,4741
Pickens,3257,3016,5,6278
Pike,3183,4632,24,7839
Randolph,3060,3548,0,6608
Russell,5999,4095,24,10118
Shelby,9834,37857,73,47764
St. Clair,5508,13388,42,18938
Sumter,3644,1244,3,4891
Talladega,9635,11617,56,21308
Tallapoosa,5486,7903,32,13421
Tuscaloosa,18663,24407,30,43100
Walker,9803,10020,14,19837
Washington,2759,2985,13,5757
Wilcox,2878,1441,5,4324
Winston,2281,5124,17,7422
