U.S. Senate,William G. Barnes,Simone De Moore
 ,nominated,
Total,160993,103942.0
Percentage,0.6076698058014229,0.392330194198577
Autauga,843,574.0
Baldwin,1401,954.0
Barbour,2980,1480.0
Bibb,400,274.0
Blount,671,262.0
Bullock,1448,1044.0
Butler,1583,1014.0
Calhoun,1643,1332.0
Chambers,1060,865.0
Cherokee,1540,494.0
Chilton,583,284.0
Choctaw,2414,1116.0
Clarke,1630,2020.0
Clay,1379,476.0
Cleburne,308,123.0
Coffee,664,519.0
Colbert,4173,2167.0
Conecuh,1479,1256.0
Coosa,788,447.0
Covington,631,378.0
Crenshaw,1766,769.0
Cullman,2423,751.0
Dale,643,417.0
Dallas,5699,3032.0
DeKalb,2580,603.0
Elmore,1230,942.0
Escambia,679,724.0
Etowah,2506,1456.0
Fayette,2462,939.0
Franklin,3260,1312.0
Geneva,314,203.0
Greene,1333,1467.0
Hale,1233,1667.0
Henry,1340,617.0
Houston,1609,1256.0
Jackson,2371,843.0
Jefferson,23358,17009.0
Lamar,1557,544.0
Lauderdale,5481,2029.0
Lawrence,3317,1562.0
Lee,1655,2131.0
Limestone,2202,919.0
Lowndes,1644,1012.0
Macon,1919,1673.0
Madison,6472,4389.0
Marengo,2828,2206.0
Marion,2146,753.0
Marshall,1265,458.0
Mobile,6885,8012.0
Monroe,1023,965.0
Montgomery,8088,6965.0
Morgan,1750,1130.0
Perry,1586,978.0
Pickens,2494,1281.0
Pike,691,464.0
Randolph,1614,874.0
Russell,2818,1393.0
Shelby,1993,1307.0
St. Clair,935,473.0
Sumter,1984,1556.0
Talladega,1783,1141.0
Tallapoosa,1052,864.0
Tuscaloosa,3579,2712.0
Walker,5299,1760.0
Washington,2570,1478.0
Wilcox,1588,1689.0
Winston,351,138.0
