Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,Total Number of Votes,Absentee,Akerfoil,Armory-1,Armory-2,Armory-3,Armory-4,Armory-5,Armory-6,Armory-7,Armory-8,Armory-9,Armory-10,Gurreyton,Cornerstone,Cornith,Fitzpatrick,Indian Creek,Inverness,Midway-1,Midway-2,Midway-3,Peachburg,Perote,Post Oak,Sardis,Thompson,Three Notch
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,BULLOCK,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
06,BULLOCK,GOVERNOR,DEM,"Siegelman, Don",2825,72,112,151,106,187,93,176,95,121,66,171,144,65,147,32,106,64,39,150,179,103,75,64,84,101,60,62
06,BULLOCK,GOVERNOR,LIB,"Sophocleus, John P.",49,2,3,2,0,3,1,2,3,3,1,3,3,0,1,0,6,2,0,4,2,0,1,4,1,0,2,0
06,BULLOCK,GOVERNOR,REP,"Riley, Bob",1051,58,40,48,34,36,44,36,57,27,40,41,48,2,37,17,124,18,37,17,16,3,23,52,120,25,36,15
06,BULLOCK,GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",2595,95,105,132,96,173,92,163,96,113,56,53,128,59,142,29,122,66,52,132,151,93,69,72,96,92,65,53
06,BULLOCK,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",63,1,5,5,3,3,0,3,4,5,2,2,1,0,2,0,3,1,2,9,1,0,1,4,1,2,3,0
06,BULLOCK,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",784,34,35,36,24,28,35,30,40,22,32,32,32,2,28,17,101,5,16,10,15,3,17,34,96,23,24,13
06,BULLOCK,LIEUTENANT GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,UNITED STATES SENATOR,DEM,"Parker, Susan",2372,62,104,119,76,161,85,147,85,104,48,145,116,58,134,22,88,51,31,124,152,90,59,48,76,88,49,50
06,BULLOCK,UNITED STATES SENATOR,LIB,"Allen, Jeff",47,0,2,4,3,2,0,2,2,2,2,2,2,0,1,0,1,2,2,4,6,0,1,4,0,1,1,1
06,BULLOCK,UNITED STATES SENATOR,REP,"Sessions, Jeff",1141,68,41,48,37,43,44,42,56,33,45,41,44,4,38,26,134,20,37,22,17,7,25,60,124,27,41,17
06,BULLOCK,UNITED STATES SENATOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,ATTORNEY GENERAL,DEM,"Whigham, Boyd",2708,91,116,147,98,174,98,169,108,115,60,160,136,60,144,27,108,61,55,128,116,90,69,67,93,95,69,54
06,BULLOCK,ATTORNEY GENERAL,LIB,"Myers, Wilson",58,3,3,1,1,3,0,6,3,2,3,6,1,0,1,0,3,0,2,6,3,2,2,3,2,1,0,1
06,BULLOCK,ATTORNEY GENERAL,REP,"Pryor, Bill",750,36,26,30,23,25,27,23,32,25,31,28,22,2,30,22,106,13,12,15,12,4,17,40,103,19,19,8
06,BULLOCK,ATTORNEY GENERAL,WI,WRITE-IN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",2450,63,99,133,88,166,83,159,87,104,58,153,125,56,134,25,94,54,29,128,152,91,63,52,62,88,53,51
06,BULLOCK,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",47,2,4,4,2,3,0,1,1,2,0,3,1,0,1,0,2,0,1,5,4,1,2,5,1,1,1,0
06,BULLOCK,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",903,60,38,37,32,29,4,29,48,32,35,37,31,3,33,21,114,13,31,13,10,5,20,51,116,20,29,12
06,BULLOCK,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",2138,56,95,0,75,151,73,143,79,103,49,142,116,55,128,24,81,50,28,119,143,90,54,45,58,85,48,48
06,BULLOCK,COURT OF CIVIL APPEALS,REP,"Thompson, William ""Bill"" C.",909,55,34,0,31,34,41,32,45,28,37,37,31,3,35,21,117,12,29,16,13,5,24,50,115,22,30,12
06,BULLOCK,COURT OF CIVIL APPEALS,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"COURT OF CRIMINAL APPEALS, PLACE #1",DEM,"Funderburk, Eric B.",2240,61,89,122,74,153,78,147,76,102,50,138,116,55,126,21,76,46,21,117,144,88,57,45,60,85,43,50
06,BULLOCK,"COURT OF CRIMINAL APPEALS, PLACE #1",LIB,"Allen, Troy E., Jr.",109,4,9,4,9,3,2,6,5,6,0,7,4,1,3,2,7,1,3,9,5,2,2,5,6,1,3,0
06,BULLOCK,"COURT OF CRIMINAL APPEALS, PLACE #1",REP,"McMillan, H.W. ""Bucky""",855,44,31,32,26,32,4,29,42,27,35,40,28,2,31,22,114,12,29,15,12,6,19,43,114,21,33,12
06,BULLOCK,"COURT OF CRIMINAL APPEALS, PLACE #1",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"COURT OF CRIMINAL APPEALS, PLACE #2",DEM,"Cauthen, Florence Mangum",2321,67,99,118,76,154,78,147,81,102,50,147,112,56,130,24,93,43,31,119,143,92,60,48,58,88,54,51
06,BULLOCK,"COURT OF CRIMINAL APPEALS, PLACE #2",REP,"Baschab, Pam",859,47,31,32,29,29,37,32,43,31,35,34,37,2,30,21,98,11,23,16,13,4,17,40,112,22,23,10
06,BULLOCK,"COURT OF CRIMINAL APPEALS, PLACE #2",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06,BULLOCK,SECRETARY OF STATE,DEM,"Worley, Nancy L.",2432,75,100,120,82,159,82,148,89,107,57,150,115,56,132,28,97,50,42,124,148,91,59,53,74,85,57,52
06,BULLOCK,SECRETARY OF STATE,LIB,"Bodenhausen, Mark",45,1,3,5,2,0,0,4,1,2,0,4,0,0,1,1,2,2,1,5,3,0,1,3,1,1,2,0
06,BULLOCK,SECRETARY OF STATE,REP,"Thomas, Dave",802,38,28,34,25,30,35,31,38,25,31,30,32,2,33,17,105,9,19,11,9,5,20,41,105,21,19,9
06,BULLOCK,SECRETARY OF STATE,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,STATE TREASURER,DEM,"Black, Stephen Foster",2385,70,98,128,80,158,82,151,81,105,53,149,121,56,126,24,87,51,31,123,151,93,64,55,67,85,48,48
06,BULLOCK,STATE TREASURER,LIB,"Garland,Gabe",47,1,4,2,2,0,1,3,0,6,0,1,4,0,2,2,1,1,2,4,2,0,2,3,3,0,1,0
06,BULLOCK,STATE TREASURER,REP,"Ivey, Kay",961,51,33,32,35,37,38,36,54,27,35,38,33,3,39,19,129,11,30,18,9,3,16,48,114,24,35,14
06,BULLOCK,STATE TREASURER,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,STATE AUDITOR,DEM,"Gibson, Carolyn",2363,75,95,121,81,157,78,144,82,107,51,147,117,56,129,25,83,51,30,122,149,91,58,56,74,82,52,50
06,BULLOCK,STATE AUDITOR,LIB,"Reeves, Franklin",76,5,7,4,1,1,0,4,3,5,1,3,2,1,3,2,3,1,5,6,4,1,2,6,4,1,1,0
06,BULLOCK,STATE AUDITOR,REP,"Chapman, Beth",855,39,35,34,28,28,41,31,43,24,37,34,31,1,36,19,116,10,23,11,7,4,20,36,104,24,28,11
06,BULLOCK,STATE AUDITOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,COMMISSIONER OF AG. & INDUSTRIES,DEM,"Sparks, Ron",2358,70,96,128,77,161,78,144,85,106,54,152,119,55,125,24,88,49,30,120,142,85,65,54,55,88,56,52
06,BULLOCK,COMMISSIONER OF AG. & INDUSTRIES,LIB,"Hulcher, Maude G.",48,1,4,4,2,0,0,2,1,2,0,1,2,0,3,2,1,1,4,3,4,1,2,3,0,2,2,1
06,BULLOCK,COMMISSIONER OF AG. & INDUSTRIES,REP,"Alley, J. Lee",952,55,36,31,34,35,38,38,47,29,37,32,36,4,40,19,115,13,29,22,21,9,13,46,119,19,26,9
06,BULLOCK,COMMISSIONER OF AG. & INDUSTRIES,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"PUBLIC SERVICE COMMISSION, PLACE #1",DEM,"Cook, Jan",2612,95,105,127,91,167,87,163,90,115,57,165,120,58,139,31,105,60,45,134,153,91,64,70,73,92,59,56
06,BULLOCK,"PUBLIC SERVICE COMMISSION, PLACE #1",LIB,"Clark, Dick",57,2,4,5,2,2,0,4,3,3,1,2,3,0,2,0,6,0,2,4,2,1,2,5,0,0,1,1
06,BULLOCK,"PUBLIC SERVICE COMMISSION, PLACE #1",REP,"Martin, Charles B.",712,25,26,31,22,22,31,23,37,22,31,26,31,2,28,16,100,6,17,13,11,7,16,33,92,17,19,8
06,BULLOCK,"PUBLIC SERVICE COMMISSION, PLACE #1",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",2081,51,89,118,71,149,7,138,71,101,48,143,102,55,123,18,69,44,20,113,142,88,61,42,45,84,44,45
06,BULLOCK,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",56,0,5,2,1,2,1,3,1,3,1,3,2,0,3,3,3,2,3,7,2,0,1,4,1,0,2,1
06,BULLOCK,"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",1150,73,45,45,39,38,47,42,59,32,43,38,45,3,41,26,137,16,42,23,16,8,19,59,140,24,35,15
06,BULLOCK,"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"US HOUSE, CONGRESSIONAL DISTRICT 2",DEM,"Woods, Charles",2178,47,94,112,70,144,73,139,70,102,52,141,108,56,121,19,74,47,22,119,144,90,53,44,60,81,46,50
06,BULLOCK,"US HOUSE, CONGRESSIONAL DISTRICT 2",LIB,"Shackelford, Floyd",45,0,3,3,4,3,1,3,3,3,0,0,1,0,1,1,0,3,2,2,0,1,2,3,2,2,2,0
06,BULLOCK,"US HOUSE, CONGRESSIONAL DISTRICT 2",REP,"Everett, Terry",1208,82,44,51,37,48,47,45,64,34,43,45,45,3,46,27,138,18,42,28,17,6,25,62,127,30,38,16
06,BULLOCK,"US HOUSE, CONGRESSIONAL DISTRICT 2",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"STATE SENATE, DISTRICT 28",DEM,"Penn, Myron C.",2985,99,122,149,107,196,101,182,117,129,71,185,148,62,151,30,129,66,43,139,172,96,82,71,90,107,78,63
06,BULLOCK,"STATE SENATE, DISTRICT 28",LIB,"Bowden, Daniel V.",235,18,10,19,7,7,8,13,3,3,4,11,15,0,4,3,22,4,15,14,2,5,4,11,24,4,0,5
06,BULLOCK,"STATE SENATE, DISTRICT 28",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 82",DEM,"Ford, Johnny",698,24,106,0,0,0,0,0,0,0,0,0,0,0,131,28,90,0,31,0,0,0,0,57,82,95,54,0
06,BULLOCK,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 82",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 84",DEM,"Beasley, Billy",1794,69,0,126,86,163,82,154,89,114,53,152,120,56,0,0,0,52,0,126,150,91,61,0,0,0,0,50
06,BULLOCK,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 84",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,BULLOCK,STATEWIDE AMENDMENT #1,,YES,1167,43,46,57,44,72,51,69,43,47,23,47,57,10,76,13,87,19,27,40,53,33,26,37,67,17,37,26
06,BULLOCK,STATEWIDE AMENDMENT #1,,NO,293,38,7,16,8,13,8,10,1,7,5,11,10,4,9,8,34,7,12,8,9,4,3,7,35,9,7,3
06,BULLOCK,STATEWIDE AMENDMENT #2,,YES,874,38,38,42,29,53,45,58,28,41,15,39,47,10,56,9,45,10,22,31,45,27,19,21,51,15,24,16
06,BULLOCK,STATEWIDE AMENDMENT #2,,NO,509,43,12,28,19,29,11,21,13,11,14,17,18,3,25,10,74,10,16,16,14,5,8,19,36,9,17,11
06,BULLOCK,STATEWIDE AMENDMENT #3,,YES,1242,74,46,63,42,73,48,63,42,52,28,51,55,10,76,18,92,21,30,42,48,24,30,38,87,25,41,23
06,BULLOCK,STATEWIDE AMENDMENT #3,,NO,205,14,4,10,5,10,9,9,1,5,6,8,9,4,8,1,30,7,6,6,10,8,2,7,14,3,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*** Note:,County Did Not Report Total Ballots Cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
