Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,,,,,Total Number of Votes,Absentee,Aliceville -2 ,Aliceville - 5,Benevola ,Bethlehem - 21,Bethlehem - 6,Carrollton,Carrollton - 4 ,Carrollton - 4/7,Cochrane/Dancy,Ethelsville,Fairview/Zion,Forest ,Gordo - 3,Gordo 5,Kirk,Liberty,Macedonia ,McShan,Palmetto,Pickensville,Pine Grove ,Pine Grove - 4,Reform - 1,Reform - 3,Sapps,Speeds Mill,Spring Hill
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PICKENS,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,6780,155,1103,357,52,53,22,62,563,17,153,92,501,151,332,680,114,194,170,107,165,268,17,71,565,456,260,55,45
54,PICKENS,GOVERNOR,DEM,"Siegelman, Don",3923,86,869,206,34,9,4,27,328,14,111,49,187,34,162,365,38,83,136,43,60,195,8,30,347,226,225,16,31
54,PICKENS,GOVERNOR,LIB,"Sophocleus, John P.",59,2,5,4,0,1,0,0,7,0,2,2,2,1,2,6,2,4,2,1,2,2,0,0,4,7,0,1,0
54,PICKENS,GOVERNOR,REP,"Riley, Bob",2719,66,219,141,18,43,18,34,224,3,35,41,309,116,163,297,73,104,31,62,101,61,9,41,211,218,31,36,14
54,PICKENS,GOVERNOR,WI,WRITE-IN,9,0,0,1,0,0,0,0,0,0,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
54,PICKENS,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",3887,96,857,212,28,15,4,21,329,13,106,50,186,34,147,354,45,86,132,41,63,181,8,32,343,245,213,16,30
54,PICKENS,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",76,0,9,3,0,0,0,1,5,0,5,0,3,0,3,7,3,2,3,0,1,13,0,0,7,5,5,0,1
54,PICKENS,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",2672,58,220,132,24,32,17,40,211,2,36,41,308,115,178,308,62,105,30,65,96,63,9,38,204,199,31,35,13
54,PICKENS,LIEUTENANT GOVERNOR,WI,WRITE-IN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,PICKENS,UNITED STATES SENATOR,DEM,"Parker, Susan",3300,82,798,156,21,5,3,16,293,12,102,42,126,28,102,288,26,68,132,28,46,172,6,26,310,171,207,9,25
54,PICKENS,UNITED STATES SENATOR,LIB,"Allen, Jeff",96,0,11,3,0,1,0,2,10,0,4,2,3,0,7,11,4,3,3,1,0,9,0,1,11,5,5,0,0
54,PICKENS,UNITED STATES SENATOR,REP,"Sessions, Jeff",3254,72,279,187,29,47,18,43,249,4,39,48,365,120,220,366,81,121,30,77,116,77,11,44,239,270,39,44,19
54,PICKENS,UNITED STATES SENATOR,WI,WRITE-IN,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
