Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
,,,,,Total Number of Votes,ABSENTEE VOTERS,BANKS CITY HALL,BRUNDIDGE-HAISTEN BLDG,CHINA GROVE-COUNTY BLDG,EBENEZER-COUNTY BLDG,ENON-COUNTY BLDG,FIRST BAPTIST CHURCH,GALLOWAY RD COMM CT-BDGE,GOSHEN-VFD,HAMILTON CROSSROADS C OF C,HENDERS0N-VFD,JOSIE-COUNTY BLDG,LITTLE OAK-COUNTY BLDG,M_P_ CHURCH,MEEKSVILLE-VFD,NEEDMORE CHILDS GROCERY,OAK BOWERY-CH OF CHRIST,PARK MEMORIAL CHURCH,TROY - COURTHOUSE,RURAL HOME-COUNTY BLDG,SACO-VFD,SHELLHORN SCHOOL,SPRINGHILL HOUSING AUTHORITY,SPRINGHILL-VFD,TARENTUM-COMM CLUBHOUSE,TENNILLE-TRAYWICKS SIGN CO,TROY ADAMS ARMORY,TROY COMM COMPLEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PIKE,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,8389,287,266,476,95,96,119,815,530,276,154,152,133,111,79,286,53,91,739,548,289,32,184,107,180,218,62,1324,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PIKE,GOVERNOR,DEM,"Siegelman, Don",3846,168,104,197,47,49,37,255,464,97,45,53,42,22,52,180,15,58,210,369,138,18,61,78,54,80,26,387,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PIKE,GOVERNOR,LIB,"Sophocleus, John P.",110,0,10,13,1,1,1,7,6,3,0,2,2,1,1,5,1,2,10,7,4,0,3,4,3,4,0,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PIKE,GOVERNOR,REP,"Riley, Bob",4337,118,150,259,46,46,79,545,57,174,107,96,88,85,22,99,37,31,514,168,146,13,120,22,119,113,36,911,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PIKE,GOVERNOR,WI,WRITE-IN,23,0,0,3,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PIKE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",4846,190,152,272,49,54,59,383,478,132,71,79,55,36,57,205,28,61,339,389,173,19,86,84,82,119,32,590,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PIKE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",98,2,2,13,3,0,2,5,1,3,0,4,3,4,1,6,1,3,6,7,3,0,4,4,2,6,0,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PIKE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",3326,90,109,184,36,42,57,420,45,138,81,69,72,64,16,72,23,25,386,145,107,10,90,16,93,92,30,712,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
