Unnamed: 0,Office,Unnamed: 2,Governor,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Ballot Name,Precincts,Lucy Baxley,Joe Copeland,Harry Lyon,Katherine Mack,Nathan Mathis,James Potts,Don Siegelman
,County,Reporting,nominee,,,,,,
1.0,Autauga,,1646,11,4,9,10,6,874
2.0,Baldwin,,2626,31,20,42,20,15,949
3.0,Barbour,,3034,42,28,98,93,36,2410
4.0,Bibb,,1352,15,9,12,10,48,697
5.0,Blount,,1150,38,3,6,6,13,662
6.0,Bullock,,1801,24,24,19,12,12,1447
7.0,Butler,,2907,34,26,29,34,34,1264
8.0,Calhoun,,5311,64,48,51,36,49,3802
9.0,Chambers,,3457,68,28,51,28,38,1417
10.0,Cherokee,,3730,80,53,64,41,65,1060
11.0,Chilton,,2125,15,16,9,12,26,1319
12.0,Choctaw,,3868,69,30,77,111,40,1987
13.0,Clarke,,4444,40,44,38,92,25,1695
14.0,Clay,,1740,40,22,24,72,38,829
15.0,Cleburne,,1385,65,20,34,25,33,724
16.0,Coffee,,3297,40,16,32,163,19,1290
17.0,Colbert,,5350,76,50,45,50,88,2218
18.0,Conecuh,,3157,30,27,26,23,24,1008
19.0,Coosa,,1929,25,15,24,29,23,1047
20.0,Covington,,3480,36,21,40,55,18,1225
21.0,Crenshaw,,2570,33,45,22,33,20,766
22.0,Cullman,,5345,215,90,83,64,92,2338
23.0,Dale,,1180,14,9,10,39,7,760
24.0,Dallas,,6080,76,117,59,41,54,4999
25.0,DeKalb,,4897,128,59,67,90,88,2591
26.0,Elmore,,2347,11,5,14,11,7,1160
27.0,Escambia,,3059,42,27,29,29,34,833
28.0,Etowah,,7037,68,44,45,72,42,3117
29.0,Fayette,,3173,65,29,32,64,58,1180
30.0,Franklin,,4141,152,79,98,101,161,2557
31.0,Geneva,,433,3,3,0,150,2,180
32.0,Greene,,1922,18,15,18,8,17,1903
33.0,Hale,,3981,37,21,24,28,19,2075
34.0,Henry,,2760,43,13,37,165,25,1270
35.0,Houston,,5467,67,20,48,466,24,2292
36.0,Jackson,,6195,183,96,107,91,154,3232
37.0,Jefferson,,27658,204,110,201,150,119,23960
38.0,Lamar,,2742,86,33,49,54,62,1277
39.0,Lauderdale,,7777,125,101,107,86,163,2915
40.0,Lawrence,,4916,107,69,64,71,146,2808
41.0,Lee,,3567,36,14,52,16,14,1351
42.0,Limestone,,4359,58,44,51,54,64,2009
43.0,Lowndes,,1598,15,30,12,16,15,2792
44.0,Macon,,2847,19,16,39,18,16,2675
45.0,Madison,,10865,134,59,141,73,171,6984
46.0,Marengo,,3583,41,27,30,36,21,2502
47.0,Marion,,4645,118,80,89,95,163,2373
48.0,Marshall,,3703,66,21,30,65,49,2247
49.0,Mobile,,11745,171,102,165,152,88,9127
50.0,Monroe,,4130,53,38,53,55,46,1956
51.0,Montgomery,,12304,58,36,51,69,32,10403
52.0,Morgan,,4250,52,37,35,20,29,2347
53.0,Perry,,1986,19,21,25,10,30,2843
54.0,Pickens,,3365,84,47,70,67,73,2099
55.0,Pike,,1432,9,4,7,8,10,720
56.0,Randolph,,2718,69,44,55,53,74,1071
57.0,Russell,,1965,65,13,154,42,18,2300
58.0,Shelby,,2880,19,20,29,16,19,1617
59.0,St. Clair,,1442,17,6,11,10,18,1102
60.0,Sumter,,2563,39,27,42,40,38,1901
61.0,Talladega,,4945,43,32,52,33,43,3615
62.0,Tallapoosa,,3044,36,24,35,19,15,1335
63.0,Tuscaloosa,,9076,60,36,58,51,43,4486
64.0,Walker,,8558,214,153,173,125,223,5095
65.0,Washington,,3725,101,43,60,90,54,1995
66.0,Wilcox,,1998,23,23,24,29,20,2570
67.0,Winston,,403,2,4,5,3,3,364
,,,0.5983769776030625,0.008876037699046378,0.005337197264096953,0.007270591614384283,0.0085738108660192,0.007144127904110499,0.36442125704928013
,TOTAL,0,279165,4141,2490,3392,4000,3333,170016
