Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
, ,,,,,
,,Ted,Floyd,Jimmy,George,"Jim ""Watchdog"""
,County, Little, Mann,Passmore,"Wallace,Jr.",Zeigler
,Autauga,1199,1423,208,1290,2528
,Baldwin,2960,2716,1167,2714,4046
,Barbour,909,609,110,2650,975
,Bibb,717,1160,94,2414,1386
,Blount ,934,1358,226,2702,2629
,Bullock,526,640,62,1510,709
,Butler,1435,1008,105,1774,2050
,Calhoun,3378,4967,773,4063,6530
,Chambers,4232,1979,83,1300,870
,Cherokee,779,631,134,2074,1317
,Chilton,1056,1294,180,2758,3368
,Choctaw,500,967,103,2621,1210
,Clarke,802,1333,174,2249,1894
,Clay,757,757,146,870,1143
,Cleburne,650,560,172,1778,1056
,Coffee,2148,1553,200,2051,2513
,Colbert,2219,1852,204,5002,3289
,Conecuh,1390,478,98,1800,825
,Coosa,639,604,58,995,1243
,Covington,4320,908,258,1867,1891
,Crenshaw,1970,592,89,1247,1229
,Cullman,2187,2426,567,4027,5060
,Dale,1335,1219,210,2364,2668
,Dallas,1679,4167,195,1894,3065
,Dekalb,1787,1425,432,4573,2919
,Elmore,2029,2164,179,1986,3809
,Escambia,1264,1609,508,2764,2009
,Etowah,4781,6030,908,7807,5127
,Fayette,818,1002,130,2772,1794
,Franklin,956,782,141,2833,1864
,Geneva,1222,742,240,2185,1731
,Greene,359,1730,70,1140,557
,Hale,380,1460,45,1333,940
,Henry,719,399,479,1372,788
,Houston,2851,2139,271,5674,4681
,Jackson,1206,1240,132,8390,2238
,Jefferson,15099,58376,3690,30979,41027
,Lamar,675,898,154,2804,1410
,Lauderdale,2194,2293,208,4746,3738
,Lawrence,1072,953,222,3766,1756
,Lee,7657,1814,106,1659,1539
,Limestone,1581,1234,161,4661,2648
,Lowndes,334,1178,30,902,666
,Macon,922,703,131,2429,1409
,Madison,7455,5812,728,8707,9838
,Marengo,429,2362,147,2117,1407
,Marion,1287,1564,163,3852,2895
,Marshall,2215,1647,407,4477,4358
,Mobile,7223,7296,2451,13097,19724
,Monroe,1276,978,250,2662,1501
,Montgomery,6259,10104,693,11490,12034
,Morgan,3769,3406,326,7132,5551
,Perry,573,1781,124,1093,819
,Pickens,1094,1551,88,2890,1755
,Pike,1165,1278,154,2665,2568
,Randolph,2550,339,42,1151,472
,Russell,1544,751,161,2008,1181
,Shelby,1963,3228,514,2378,4102
,St. Clair,968,1470,214,2340,2994
,Sumter,565,2864,85,1182,883
,Talladega,1515,2468,378,2952,5562
,Tallapoosa,5678,2495,93,1168,1640
,Tuscaloosa,3476,9119,238,5617,6038
,Walker,1803,3072,826,4389,4979
,Washington,730,912,138,2739,1941
,Wilcox,472,2146,87,1158,962
,Winston,647,490,65,1494,1016
,Calculated,141283,190505,22225,237547,230364
,Reported,141283,190505,22225,237547,230364
