 ,State Auditor,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
County,Debbie Corbett,Earl Mack Gavin,Carolyn Gibson,Karen Jackson,"Jerry Nelson, Jr."
Autauga,747,133,761,256,168
Baldwin,619,246,1255,522,719
Barbour,1333,295,1431,742,326
Bibb,605,155,833,374,220
Blount ,379,98,424,197,176
Bullock,676,194,983,498,173
Butler,675,259,2705,621,233
Calhoun,1519,361,2471,1111,637
Chambers,1095,209,1337,269,288
Cherokee,941,405,1309,606,577
Chilton,442,150,1167,363,209
Choctaw,809,348,2239,491,371
Clarke,776,258,1785,934,437
Clay,320,108,584,225,204
Cleburne,425,206,693,357,406
Coffee,643,233,1863,599,318
Colbert,1054,447,2105,702,738
Conecuh,540,201,1421,748,246
Coosa,552,226,888,394,237
Covington,493,193,995,992,298
Crenshaw,410,104,986,752,182
Cullman,2757,869,2325,1330,1297
Dale,576,155,806,378,206
Dallas,2040,686,4393,1207,750
Dekalb,877,454,1609,891,664
Elmore,660,162,1062,378,196
Escambia,626,321,1599,1154,481
Etowah,1302,469,3056,898,844
Fayette,1098,309,2061,418,637
Franklin,1142,567,1480,945,1021
Geneva,188,78,372,142,113
Greene,378,113,1917,327,171
Hale,771,164,3111,397,341
Henry,842,248,1150,464,296
Houston,1526,385,1645,828,581
Jackson,451,244,975,455,398
Jefferson,7976,2633,30053,6030,3492
Lamar,932,299,1084,379,530
Lauderdale,2231,876,3269,1542,1653
Lawrence,1163,614,2233,1048,1068
Lee,1259,221,2108,532,272
Limestone,1608,424,1590,763,764
Lowndes,448,160,1548,455,271
Macon,1232,184,2031,455,265
Madison,2900,1024,6204,2617,1768
Marengo,837,326,2091,607,463
Marion,1509,542,1941,993,890
Marshall,998,447,1680,762,612
Mobile,2421,1664,8445,3544,2387
Monroe,486,140,1266,375,270
Montgomery,2807,969,6532,2331,1072
Morgan,1440,538,3587,1138,1083
Perry,477,168,2533,494,189
Pickens,1074,293,1933,505,468
Pike,260,57,803,210,110
Randolph,488,180,949,290,394
Russell,1955,242,1478,394,310
Shelby,718,155,1247,501,257
St. Clair,539,142,698,368,226
Sumter,560,360,2503,456,369
Talladega,1587,332,2633,780,680
Tallapoosa,887,456,1914,642,391
Tuscaloosa,1847,655,4031,1142,984
Walker,2640,991,2884,1625,2183
Washington,1026,399,1550,583,711
Wilcox,753,271,1955,447,322
Winston,189,71,281,140,121
Calculated,75534,25886,158850,54113,39734
Reported,75534,25886,158850,54113,39734
