Comm. of Agriculture & Industries,Unnamed: 1,Unnamed: 2,Unnamed: 3
County,Zorn (D),McMillan (R),Write-In
Autauga,583255,862901,1405
Baldwin,0.1931842595925146,,
Barbour,4305,13267,26
Bibb,10904,45693,83
Blount,4354,3700,7
Bullock,1992,4277,5
Butler,3332,13068,24
Calhoun,2834,967,
Chambers,3067,3808,8
Cherokee,12345,20237,45
Chilton,4778,5137,2
Choctaw,2706,4157,6
Clarke,3353,9859,10
Clay,3446,2742,3
Cleburne,4670,5508,3
Coffee,1895,3063,4
Colbert,1203,3592,12
Conecuh,4530,10241,18
Coosa,7747,8455,5
Covington,2593,2445,7
Crenshaw,2064,2219,1
Cullman,5960,5906,13
Dale,2219,2984,5
Dallas,7828,21137,59
DeKalb,3968,9475,27
Elmore,10516,4828,12
Escambia,7666,11539,
Etowah,6297,19507,35
Fayette,3517,6691,25
Franklin,11720,19141,42
Geneva,2036,3679,7
Greene,3968,4222,15
Hale,2763,6553,14
Henry,3587,665,3
Houston,4113,2183,5
Jackson,2700,3806,9
Jefferson,10095,21142,62
Lamar,6033,8350,17
Lauderdale,108409,99724,87
Lawrence,1452,3227,4
Lee,11268,15206,31
Limestone,5448,5588,20
Lowndes,12848,19994,39
Macon,7994,17029,18
Madison,3688,1421,4
Marengo,6364,1049,3
Marion,40558,64116,127
Marshall,4748,3854,7
Mobile,3098,5349,11
Monroe,6919,17532,47
Montgomery,44412,64027,40
Morgan,3133,4261,8
Perry,39301,32982,49
Pickens,11141,26728,40
Pike,3185,1210,1
Randolph,3442,3665,9
Russell,3909,5522,14
St Clair,2420,4325,5
Shelby,6125,5060,16
Sumter,5187,19025,24
Talladega,13981,48211,58
Tallapoosa,4172,1275,2
Tuscaloosa,10284,13224,39
Walker,5553,9650,0
Washington,21134,31298,29
Wilcox,8223,13540,33
Winston,2295,3545,10
,3520,1248,1
,1940,5773,10
