Unnamed: 0,"Jim Folsom, Jr.",Donald Stewart,Mrs. Frank Stewart,Finis St. John
Autauga,2550,2008,195,839
Baldwin,2371,3822,400,1002
Barbour,1227,1321,159,404
Bibb,1447,1125,81,192
Blount,1063,1287,58,453
Bullock,1422,1926,171,255
Butler,1781,1391,118,297
Calhoun,2245,7499,501,1042
Chambers,2001,2394,433,549
Cherokee,2291,1338,332,198
Chilton,1948,1765,264,419
Choctaw,1392,2680,138,273
Clarke,1846,3405,176,624
Clay,1134,1626,119,210
Cleburne,1034,1725,97,312
Coffee,3271,2318,157,635
Colbert,4177,5940,469,1083
Conecuh,1608,1813,214,276
Coosa,1147,1001,52,241
Covington,3739,3941,383,1069
Crenshaw,400,328,31,83
Cullman,4369,1730,214,1932
Dale,2259,2303,179,486
Dallas,1967,3953,290,548
Dekalb,3054,1915,112,348
Elmore,3909,2880,209,1024
Escambia,1798,3070,422,605
Etowah,7058,5571,570,1515
Fayette,1506,1397,91,318
Franklin,1807,1953,109,327
Geneva,2279,2289,226,373
Greene,800,1831,98,231
Hale,811,1545,109,304
Henry,1281,1955,82,277
Houston,3581,3397,377,841
Jackson,5025,2478,280,451
Jefferson,8297,27887,3489,4446
Lamar,2341,2055,212,338
Lauderdale,5857,6060,498,1073
Lawrence,2250,2196,114,353
Lee ,1972,2640,320,1037
Limestone,1472,2026,251,619
Lowndes,1403,1610,131,223
Macon,1361,2049,225,194
Madison,7687,13024,921,4062
Marengo,940,1500,179,173
Marion,567,526,26,119
Marshall,868,869,73,516
Mobile,7692,16977,2015,5007
Monroe,1461,3086,284,536
Montgomery,7497,7140,566,2289
Morgan,3067,3797,409,1791
Perry,722,2782,72,274
Pickens,1791,2342,163,317
Pike,1358,1210,76,212
Randolph,1167,1529,206,305
Russell,1829,2751,314,363
St. Clair,708,1057,107,261
Shelby,1813,2662,238,782
Sumter,554,2289,81,362
Talladega,1906,2837,295,687
Tallapoosa,2110,2028,172,673
Tuscaloosa,5627,7891,632,2349
Walker,3959,3998,311,966
Washington,1528,3241,141,401
Wilcox,1533,3369,136,443
Winston,261,192,9,53
Total,163196,222540,20582,51260
