Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,Total Number of Votes,Absentee,Brent-North,Brent-South,Cedar Grove,Centreville     ,Centreville-Cent.,Eoline,Furnace,Greenpond,Harrisburg,Pondville,Randolph,Tabernacle,West Blocton-East,West Blocton-West
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,
04,BIBB,GOVERNOR,DEM,"Siegelman, Don",3178,57,474,318,153,196,75,129,243,450,111,53,165,24,375,355
04,BIBB,GOVERNOR,LIB,"Sophocleus, John P.",76,0,11,2,4,6,0,2,8,19,0,6,2,3,8,5
04,BIBB,GOVERNOR,REP,"Riley, Bob",3091,73,547,142,147,358,36,115,290,502,87,124,137,66,228,239
04,BIBB,GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,BIBB,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",3094,54,489,333,152,207,71,118,223,394,120,64,165,32,351,321
04,BIBB,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",85,0,13,4,3,9,0,2,12,23,1,4,2,1,3,8
04,BIBB,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",3129,75,522,126,146,340,39,123,306,551,71,114,131,61,254,270
04,BIBB,LIEUTENANT GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,BIBB,UNITED STATES SENATOR,DEM,"Parker, Susan",2553,42,419,307,126,148,67,94,187,304,92,36,130,28,305,268
04,BIBB,UNITED STATES SENATOR,LIB,"Allen, Jeff",77,0,8,2,4,7,1,2,6,27,2,5,3,1,3,6
04,BIBB,UNITED STATES SENATOR,REP,"Sessions, Jeff",3667,88,598,153,170,402,42,146,345,639,99,137,166,63,299,320
04,BIBB,UNITED STATES SENATOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,BIBB,ATTORNEY GENERAL,DEM,"Whigham, Boyd",2473,34,413,301,127,154,65,98,158,275,94,45,125,25,293,266
04,BIBB,ATTORNEY GENERAL,LIB,"Myers, Wilson",132,0,12,6,4,15,1,7,11,40,0,6,1,2,12,15
04,BIBB,ATTORNEY GENERAL,REP,"Pryor, Bill",3543,90,582,149,158,372,43,126,358,629,97,126,163,64,286,300
04,BIBB,ATTORNEY GENERAL,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,BIBB,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",2973,47,464,328,159,200,68,110,230,366,107,64,135,34,350,311
04,BIBB,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",123,1,11,2,4,18,2,3,14,32,0,6,4,1,9,16
04,BIBB,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",3037,78,528,124,122,325,37,118,282,536,77,105,152,57,239,257
04,BIBB,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
