County,Karen Haiden,Susan Parker
Autauga,494,793
Baldwin,877,1512
Barbour,2167,4101
Bibb,1495,1866
Blount,579,823
Bullock,786,1501
Butler,1114,1637
Calhoun,3165,5070
Chambers,1870,3349
Cherokee,1894,2167
Chilton,891,1054
Choctaw,1004,2826
Clarke,1827,2732
Clay,833,1261
Cleburne,983,1374
Coffee,1452,1701
Colbert,1588,3838
Conecuh,802,1321
Coosa,1311,2155
Covington,2058,1601
Crenshaw,1468,1255
Cullman,1594,3343
Dale,471,1249
Dallas,3655,7734
Dekalb,1666,1446
Elmore,570,1127
Escambia,989,1212
Etowah,2505,5054
Fayette,1221,1959
Franklin,2071,2320
Geneva,1018,1434
Greene,1089,1972
Hale,1132,2500
Henry,753,1558
Houston,1137,2245
Jackson,1337,1483
Jefferson,7320,30561
Lamar,811,1203
Lauderdale,2207,6049
Lawrence,1905,4880
Lee,914,2606
Limestone,1525,4829
Lowndes,691,1859
Macon,974,2572
Madison,3109,6132
Marengo,2938,3381
Marion,2000,3886
Marshall,1171,1621
Mobile,4032,8743
Monroe,2368,1873
Montgomery,2718,8890
Morgan,2004,7395
Perry,983,2325
Pickens,1625,2794
Pike,929,1310
Randolph,1384,1374
Russell,363,1254
Shelby,720,1574
St. Clair,741,986
Sumter,1067,3308
Talladega,1362,2497
Tallapoosa,3100,4266
Tuscaloosa,1817,4582
Walker,3578,4844
Washington,1685,2759
Wilcox,1003,1976
Winston,242,460
Calculated,107152,213362
Reported,107152,213362
