Unnamed: 0,Melba Till Allen,"Sam Chestnut, Jr.",Robert Edington,Jimmy Harper,Lambert Mims,John Sparkman,Charles Sullins
Autauga,2453.0,53,182,65,976.0,2244.0,417.0
Baldwin,4936.0,56,680,76,2323.0,4161.0,63.0
Barbour,1762.0,44,247,73,402.0,4158.0,39.0
Bibb,1938.0,11,51,35,577.0,2164.0,36.0
Blount,1302.0,17,55,179,876.0,2631.0,39.0
Bullock,1024.0,22,89,43,316.0,1038.0,132.0
Butler,2890.0,17,140,46,890.0,2247.0,93.0
Calhoun,4754.0,72,267,131,1211.0,6627.0,228.0
Chambers,2564.0,99,149,76,851.0,4026.0,72.0
Cherokee,1097.0,209,124,45,247.0,3149.0,47.0
Chilton,1338.0,25,55,36,684.0,2205.0,34.0
Choctaw,1479.0,28,45,53,1016.0,3322.0,69.0
Clarke,3328.0,38,242,35,1272.0,3433.0,38.0
Clay,1233.0,18,59,56,710.0,2063.0,50.0
Cleburne,1580.0,38,70,90,464.0,2202.0,46.0
Coffee,2324.0,36,223,89,1280.0,5471.0,65.0
Colbert,2829.0,77,256,97,1371.0,6020.0,336.0
Conecuh,1722.0,40,111,38,1143.0,2005.0,171.0
Coosa,1257.0,20,130,36,736.0,1911.0,36.0
Covington,4618.0,43,242,162,1936.0,4229.0,303.0
Crenshaw,1375.0,6,82,22,515.0,1393.0,38.0
Cullman,1804.0,19,90,82,757.0,5994.0,164.0
Dale,2303.0,104,202,70,1655.0,5482.0,63.0
Dallas,2383.0,70,135,49,1288.0,2678.0,91.0
Dekalb,801.0,97,49,68,508.0,4813.0,120.0
Elmore,4278.0,53,292,56,1470.0,3498.0,254.0
Escambia,2960.0,34,315,73,2382.0,3716.0,25.0
Etowah,8263.0,254,1063,291,3009.0,13317.0,457.0
Fayette,1119.0,31,61,71,1410.0,2727.0,166.0
Franklin,1108.0,31,28,135,1094.0,2809.0,282.0
Geneva,1405.0,29,117,86,328.0,3770.0,70.0
Greene,344.0,4,30,11,117.0,1088.0,12.0
Hale,1584.0,24,98,22,393.0,1823.0,19.0
Henry,949.0,36,51,96,735.0,2608.0,71.0
Houston,2657.0,76,228,123,1821.0,4966.0,156.0
Jackson,1033.0,63,151,46,421.0,6658.0,84.0
Jefferson,23702.0,574,3343,962,9780.0,45150.0,661.0
Lamar,771.0,20,57,58,471.0,3492.0,422.0
Lauderdale,2927.0,79,473,121,968.0,6525.0,387.0
Lawrence,1861.0,32,48,106,616.0,4576.0,223.0
Lee ,2250.0,92,503,225,922.0,4873.0,69.0
Limestone,2609.0,72,166,77,392.0,4256.0,183.0
Lowndes,763.0,13,115,29,327.0,1590.0,25.0
Macon,1324.0,53,168,121,225.0,3367.0,44.0
Madison,7041.0,171,1049,354,1536.0,20588.0,2381.0
Marengo,2098.0,38,211,69,1155.0,4199.0,81.0
Marion,508.0,4,11,13,134.0,1392.0,804.0
Marshall,1737.0,65,189,62,914.0,3558.0,161.0
Mobile,21023.0,344,4104,565,9613.0,15252.0,332.0
Monroe,1299.0,10,226,31,2121.0,2648.0,12.0
Montgomery,8226.0,148,1407,339,3608.0,11789.0,484.0
Morgan,3933.0,110,259,103,1355.0,8949.0,259.0
Perry,1102.0,26,78,20,446.0,2949.0,39.0
Pickens,1399.0,26,59,59,738.0,2490.0,188.0
Pike,2231.0,39,239,59,856.0,2772.0,90.0
Randolph,1218.0,161,121,89,375.0,2217.0,34.0
Russell,1912.0,95,168,119,1014.0,3601.0,31.0
Shelby,1653.0,33,212,46,557.0,2469.0,21.0
St. Clair,1625.0,42,81,57,603.0,2052.0,29.0
Sumter,392.0,11,44,21,260.0,2536.0,23.0
Talladega,3298.0,36,747,108,1905.0,6702.0,168.0
Tallapoosa,2796.0,72,226,185,1545.0,3907.0,116.0
Tuscaloosa,6643.0,187,1117,610,3777.0,12122.0,218.0
Walker,4133.0,41,139,101,2192.0,7739.0,168.0
Washington,2519.0,16,109,29,1160.0,2456.0,77.0
Wilcox,709.0,14,58,18,636.0,2125.0,16.0
Winston,194.0,1,9,5,76.0,851.0,32.0
Total,194690.0,4519,22145,7523,87461.0,331838.0,12164.0
 ,, , , ,,,
,,, , ,,,
,,, ,,,,
