County,President,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Barack Obama - D,John McCain - R,Chuck Baldwin - I,Bob Barr - I,Ralph Nader - I,Write-Ins
Autauga,6093,17403,44,31,46,24
Baldwin,19386,61271,170,220,250,116
Barbour,5697,5866,26,11,21,9
Bibb,2299,6262,26,11,32,14
Blount,3522,20389,84,81,127,64
Bullock,4011,1391,2,6,2,3
Butler,4188,5485,10,7,16,3
Calhoun,16334,32348,108,137,248,67
Chambers,6799,8067,19,27,29,15
Cherokee,2306,7298,39,44,40,18
Chilton,3674,13960,48,30,51,22
Choctaw,3636,4223,7,5,15,8
Clarke,5914,7466,12,16,22,5
Clay,1760,4984,12,16,31,16
Cleburne,1168,5216,25,49,24,10
Coffee,5079,14919,28,36,50,16
Colbert,9703,14739,63,73,161,104
Conecuh,3429,3470,12,5,25,2
Coosa,2273,3248,17,9,14,2
Covington,3240,12444,26,29,34,14
Crenshaw,1938,4319,12,5,11,6
Cullman,5864,28896,150,89,227,79
Dale,5270,13886,54,35,60,15
Dallas,13986,6798,14,20,23,11
DeKalb,5658,17957,64,65,151,120
Elmore,8301,25777,59,63,70,45
Escambia,5188,9375,34,28,29,20
Etowah,13497,30595,124,149,264,108
Fayette,1994,5883,16,14,50,
Franklin,3469,8048,44,25,84,23
Geneva,2134,9417,32,34,35,5
Greene,4408,876,10,2,4,5
Hale,4982,3200,8,7,10,7
Henry,3018,5585,17,8,14,6
Houston,12225,29254,76,59,78,43
Jackson,6374,14083,100,59,180,78
Jefferson,166121,149921,424,793,713,552
Lamar,1614,5419,14,5,23, 
Lauderdale,13329,24068,145,128,320,114
Lawrence,5164,9277,58,40,92,49
Lee,21498,32230,95,186,192,124
Limestone,9536,23598,118,103,128,68
Lowndes,5449,1809,10,3,5,2
Macon,9450,1396,12,4,8,7
Madison,64117,86965,392,579,481,365
Marengo,5926,5516,9,3,16,1
Marion,2600,9536,34,36,117,32
Marshall,7038,25727,68,82,175,76
Mobile,82181,98049,238,327,426,203
Monroe,5025,6175,15,6,19,12
Montgomery,62166,42031,107,148,167,124
Morgan,13895,36014,129,142,223,139
Perry,4457,1679,7,7,6,3
Pickens,4594,5434,8,3,19,9
Pike,5879,8004,13,16,32,11
Randolph,3064,7175,38,50,42,15
Russell,10085,8705,28,36,41,20
Shelby,20625,69060,242,304,228,184
St. Clair,6091,27649,114,65,118,51
Sumter,5264,1731,6,5,12,2
Talladega,13779,20112,92,74,99,48
Tallapoosa,6063,13116,32,31,47,22
Tuscaloosa,32796,45405,122,186,211,192
Walker,7420,20722,105,68,197,140
Washington,3067,5654,16,5,22,11
Wilcox,4612,1868,2,1,7,4
Winston,1757,8103,25,50,74,22
TOTAL,813479,1266546,4310,4991,6788,3705
