Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,Lieutenant Governor,,
,,,Folsom (D),Strange (R),Write-In
,,Total,629268,610982,3029
,,Margin,0.014707881336369391,,
,,Autauga,5667,8220,42
,,Baldwin,13741,31720,75
,,Barbour,3770,2378,4
,,Bibb,2929,2607,19
,,Blount,6323,7975,21
,,Bullock,2395,679,4
,,Butler,4128,2629,11
,,Calhoun,14646,14846,58
,,Chambers,5569,3418,
,,Cherokee,4137,2832,10
,,Chilton,5433,6624,20
,,Choctaw,3258,1510,0
,,Clarke,5234,3708,8
,,Clay,2499,2308,9
,,Cleburne,1973,2038,9
,,Coffee,5776,7330,12
,,Colbert,9451,6229,35
,,Conecuh,2692,1519,6
,,Coosa,2731,1573,6
,,Covington,5641,5450,14
,,Crenshaw,2583,1687,5
,,Cullman,13779,11939,124
,,Dale,4860,7453,24
,,Dallas,9984,4022,22
,,DeKalb,8728,8769,34
,,Elmore,8495,12140,63
,,Escambia,4226,4459,13
,,Etowah,16208,13026,75
,,Fayette,3642,2370,9
,,Franklin,4853,2763,14
,,Geneva,2832,4343,15
,,Greene,3340,719,8
,,Hale,3631,1608,3
,,Henry,3023,2611,9
,,Houston,9719,16091,76
,,Jackson,7596,5000,12
,,Jefferson,92993,85395,509
,,Lamar,2796,1930,4
,,Lauderdale,13407,11405,36
,,Lawrence,6954,3219,28
,,Lee,12846,13964,63
,,Limestone,9270,9902,73
,,Lowndes,3260,998,2
,,Macon,4885,864,6
,,Madison,39312,43363,356
,,Marengo,4718,2433,9
,,Marion,5068,3709,18
,,Marshall,11655,11845,89
,,Mobile,42998,49555,132
,,Monroe,4390,3591,
,,Montgomery,35221,25788,142
,,Morgan,15754,17471,121
,,Perry,3264,976,5
,,Pickens,3529,2681,6
,,Pike,4445,3518,6
,,Randolph,3495,2761,8
,,Russell,6249,3132,15
,,St Clair,7263,11813,90
,,Shelby,13550,34758,160
,,Sumter,3997,1281,5
,,Talladega,11050,8207,45
,,Tallapoosa,6655,6365,2
,,Tuscaloosa,23031,20460,113
,,Walker,10740,7521,78
,,Washington,3592,2390,10
,,Wilcox,3510,895,4
,,Winston,3879,4199,25
