County,Will Lewis ,Wren Weston
Autauga,156,76
Baldwin,2734,1566
Barbour,41,8
Bibb,245,93
Blount ,1029,504
Bullock,3,0
Butler,59,24
Calhoun,511,225
Chambers,60,30
Cherokee,34,18
Chilton,494,212
Choctaw,18,22
Clarke,41,17
Clay,75,58
Cleburne,18,3
Coffee,126,54
Colbert,112,44
Conecuh,24,10
Coosa,57,25
Covington,81,60
Crenshaw,13,3
Cullman,941,632
Dale,268,85
Dallas,126,58
Dekalb,358,201
Elmore,652,305
Escambia,63,38
Etowah,515,285
Fayette,66,28
Franklin,141,51
Geneva,90,78
Greene,5,0
Hale,5,5
Henry,34,18
Houston,704,345
Jackson,97,65
Jefferson,23397,11978
Lamar,30,34
Lauderdale,303,96
Lawrence,11,6
Lee,202,103
Limestone,393,118
Lowndes,6,5
Macon,11,5
Madison,2569,1150
Marengo,19,8
Marion,66,45
Marshall,203,69
Mobile,4199,3904
Monroe,24,28
Montgomery,1623,1351
Morgan,974,501
Perry,20,3
Pickens,57,28
Pike,64,22
Randolph,47,13
Russell,115,46
Shelby,7296,350
St. Clair,707,2715
Sumter,5,14
Talladega,311,267
Tallapoosa,81,51
Tuscaloosa,1269,715
Walker,227,194
Washington,32,5
Wilcox,18,7
Winston,2136,1098
Calculated,56411,30175
Reported,56411,30175
