Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11, ,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,, ,Total Number of Votes,ABSENTEE VOTERS,Write-In,Beat 1,"Beat 2, Box 1","Beat6 2, Box 2","Beat 2, Box 3","Beat 2, Box 4","Beat 2, Box 5",Beat 3,Beat 4,Beat 5,"Beat 6, Box 0","Beat 6, Box 1","Beat 6, Box 2","Beat 6, Box 3","Beat 6, Box 4",Beat 7,Beat 8,Beat 9,Beat 10,Beat 11,Beat 12,Beat 13,Beat 14,Beat 15,Challenge Ballots,
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LEE,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,32159,626,13,439,1192,1192,1488,1618,2554,233,169,655,853,1588,2358,3389,3355,1305,198,474,205,621,682,542,3202,273,2935,
42,LEE,GOVERNOR,DEM,"Siegelman, Don",11772,187,2,146,1072,946,396,538,737,82,90,442,665,530,891,1014,877,522,111,279,120,206,299,217,1220,89,94,
42,LEE,GOVERNOR,LIB,"Sophocleus, John P.",826,10,0,11,10,12,29,30,47,5,8,24,24,67,132,179,117,29,6,13,6,13,6,12,25,8,3,
42,LEE,GOVERNOR,REP,"Riley, Bob",16515,413,0,281,104,224,1054,1037,1759,144,70,187,159,964,1309,2150,2341,742,81,181,77,398,369,307,1938,173,53,
42,LEE,GOVERNOR,WI,WRITE-IN,103,2,,1,0,1,4,6,5,1,0,1,0,11,12,19,11,5,0,1,0,2,2,3,15,1,,
42,LEE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",13706,242,1,163,1085,956,553,659,1007,103,89,460,672,725,1058,1450,1226,624,117,275,121,221,290,228,1184,100,97,
42,LEE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",663,8,0,13,9,15,17,21,45,3,6,22,10,50,109,108,79,29,3,13,6,12,8,12,58,4,3,
42,LEE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",14433,361,2,256,78,201,889,908,1450,123,67,155,156,786,1144,1749,2002,635,74,176,70,380,364,294,1902,163,48,
42,LEE,LIEUTENANT GOVERNOR,WI,WRITE-IN,98,1,,4,0,1,5,4,9,0,0,3,2,6,13,12,4,4,0,2,0,2,4,0,21,1,,
42,LEE,UNITED STATES SENATOR,DEM,"Parker, Susan",10832,178,0,104,1034,899,351,472,592,76,80,410,638,572,859,1060,823,461,100,257,108,163,259,175,1000,74,87,
42,LEE,UNITED STATES SENATOR,LIB,"Allen, Jeff",574,4,0,10,11,12,13,25,42,5,5,23,12,32,71,82,76,33,2,13,6,10,11,14,54,5,3,
42,LEE,UNITED STATES SENATOR,REP,"Sessions, Jeff",17577,433,1,319,129,259,1107,1112,1888,149,78,206,189,972,1407,2203,2428,794,92,194,80,437,395,346,2106,192,61,
42,LEE,UNITED STATES SENATOR,WI,WRITE-IN,54,0,,1,0,0,4,1,4,0,0,3,0,2,6,5,7,5,0,1,0,1,3,1,10,0,,
42,LEE,ATTORNEY GENERAL,DEM,"Whigham, Boyd",10175,162,1,86,1031,879,318,416,546,64,75,405,636,497,782,947,794,417,97,242,104,158,240,164,959,70,85,
42,LEE,ATTORNEY GENERAL,LIB,"Myers, Wilson",851,7,0,16,14,23,24,35,60,6,6,26,18,60,115,130,94,46,5,15,8,14,25,17,73,10,4,
