County,Lee Alley,Richard Nixon,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Autauga,3335,2107,,,,
Baldwin,11601,8230,,,,
Barbour,187,124,,,,
Bibb,921,501,,,,
Blount,3185,2049,,,,
Bullock,41,10,,,,
Butler,223,138,,,,
Calhoun,3698,2889,,,,
Chambers,631,457,,,,
Cherokee,99,82,,,,
Chilton,2858,1811,,,,
Choctaw,28,24,,, ,
Clarke,501,365,,,,
Clay,1003,819,,,,
Cleburne,298,262,,,,
Coffee,1184,807,,,,
Colbert,684,571,,,, 
Conecuh,80,87,,,,
Coosa,309,246,,,,
Covington,943,585,,,,
Crenshaw,132,97,,,,
Cullman,3682,2529,,,,
Dale,1172,783,,,,
Dallas,276,199,,,,
Dekalb,1241,952,,,,
Elmore,4590,2427,,,,
Escambia,344,262,,,,
Etowah,2774,2034,,,,
Fayette,215,197,,,,
Franklin,165,161,,,,
Geneva,1774,1088,,,,
Greene,49,22,,,,
Hale,48,30,,,,
Henry,175,109,,,,
Houston,2745,1945,,,,
Jackson,446,366,,,,
Jefferson,33722,15518,,,,
Lamar,103,65,,,,
Lauderdale,1222,951,,,,
Lawrence,161,142,,,,
Lee,3629,2003,,,,
Limestone,1419,1148,,,,
Lowndes,157,85,,,,
Macon,143,78,,,,
Madison,8365,7211,,,,
Marengo,259,135,,,,
Marion,534,486,,,,
Marshall,2568,1827,,,,
Mobile,16739,12927,,,,
Monroe,976,632,,,,
Montgomery,11544,5066,,,,
Morgan,3687,2836,,,,
Perry,44,34,,,,
Pickens,156,41,,,,
Pike,1005,516,,,,
Randolph,302,253,,,,
Russell,403,325,,,,
Shelby,11157,5565,,,,
St. Clair,4713,3604,,,,
Sumter,21,6,,,,
Talladega,2030,1627,,,,
Tallapoosa,1702,1181,,,,
Tuscaloosa,5684,3061,,,,
Walker,904,646,,,,
Washington,155,104,,,,
Wilcox,103,39,,,,
Winston,1823,1532,,,,
Calculated,167067,105009,,,,
Reported,167067,105009,,,,
