Unnamed: 0,General Election 2006,Unnamed: 2,Unnamed: 3
,,,
,Auditor,,
,Clarke (D),Shaw (R),Write-In
,531717,627424,946
,0.08249984699423406,,
Autauga,3975,9133,13
Baldwin,11383,31882,32
Barbour,3235,2462,0
Bibb,2270,2896,5
Blount,4191,9101,
Bullock,2180,749,2
Butler,3053,2977,4
Calhoun,12320,14939,21
Chambers,4596,3673,
Cherokee,3585,2648,5
Chilton,4036,6887,7
Choctaw,2716,1700,3
Clarke,4301,3554,7
Clay,1992,2326,5
Cleburne,1463,2088,1
Coffee,4444,7534,10
Colbert,8753,6016,12
Conecuh,2301,1480,7
Coosa,2238,1729,3
Covington,3870,5594,6
Crenshaw,1790,1929,3
Cullman,9418,14338,30
Dale,3835,7557,8
Dallas,8892,4371,9
DeKalb,8858,7243,9
Elmore,5600,13994,11
Escambia,3573,4188,7
Etowah,14162,13186,29
Fayette,2624,2632,3
Franklin,4035,2769,5
Geneva,2100,4342,4
Greene,3074,673,4
Hale,3227,1676,1
Henry,2424,2564,4
Houston,8146,15488,18
Jackson,6683,4694,7
Jefferson,84697,86910,113
Lamar,2264,2006,2
Lauderdale,11937,10654,18
Lawrence,5744,3319,11
Lee,10980,14509,26
Limestone,7825,9925,15
Lowndes,2854,1105,1
Macon,4700,818,5
Madison,34498,42673,80
Marengo,3899,2777,7
Marion,4217,3834,10
Marshall,8781,12080,20
Mobile,38428,48735,71
Monroe,3523,3712,
Montgomery,30993,27676,44
Morgan,12223,18159,33
Perry ,3075,991,5
Pickens,3213,2578,9
Pike,3280,4005,7
Randolph,2660,2812,5
Russell,5602,3476,4
St. Clair,5322,12938,20
Shelby,10521,35973,35
Sumter,3663,1433,5
Talladega,9304,9056,17
Tallapoosa,5057,6730,0
Tuscaloosa,18991,21653,36
Walker,9356,7860,29
Washington,3067,2280,6
Wilcox,3188,1012,5
Winston,2512,4723,12
