Unnamed: 0,County,Horace Horn,"B.A. ""Plowboy"" Real",A.W. Todd.
,Autauga,3391,1031,1609
,Baldwin,3323,1185,1720
,Barbour,2180,683,1319
,Bibb,1738,492,1365
 ,Blount ,1858,763,1936
,Bullock,1576,343,719
,Butler,2527,786,806
,Calhoun,6666,2248,3470
,Chambers,2920,1622,1112
,Cherokee,2038,873,1222
,Chilton,2990,1412,2443
,Choctaw,1424,976,1917
,Clarke,3106,952,865
,Clay,1390,415,882
,Cleburne,1170,798,1396
,Coffee,3407,989,1837
,Colbert,3781,978,2931
,Conecuh,1767,410,808
,Coosa,1376,359,941
,Covington,2831,937,1998
,Crenshaw,2980,342,574
,Cullman,4486,1712,3588
,Dale,2324,765,1605
,Dallas,3611,1274,2463
,Dekalb,3609,1403,2780
,Elmore,3650,928,1474
,Escambia,2271,683,1636
,Etowah,5582,2368,7663
,Fayette,2163,786,2456
,Franklin,1878,539,3814
,Geneva,1891,551,1085
,Greene,992,430,2521
,Hale,2253,420,863
,Henry,1899,560,1127
,Houston,4729,1423,3969
,Jackson,2557,1422,2661
,Jefferson,30748,25741,25460
,Lamar,1483,969,2054
,Lauderdale,5261,2161,5573
,Lawrence,2977,3074,2296
,Lee,4244,1156,1751
,Limestone,3941,1672,4610
,Lowndes,1469,255,446
,Macon,2681,492,933
,Madison,12713,3283,10769
,Marengo,2911,1287,1300
,Marion,2994,1726,3818
,Marshall,5689,1911,2933
,Mobile,12842,6881,16852
,Monroe,17222,2825,8191
,Montgomery,2366,628,1229
,Morgan,6379,2153,6146
,Perry,1580,331,1653
,Pickens,2756,798,2578
,Pike,3136,475,1967
,Randolph,1456,857,733
,Russell,1298,450,492
,Shelby,2049,724,1590
,St. Clair,2923,1259,2866
,Sumter,1095,585,2937
,Talladega,4626,1226,2735
,Tallapoosa,3999,1214,3231
,Tuscaloosa,6447,2483,9981
,Walker,5673,2250,4662
,Washington,2609,871,2240
,Wilcox,1544,442,2107
,Winston,929,338,756
,Calculated,256374,104375,206464
,Reported,256374,104375,206464
