County,"Siegelman, Don (D)","Sophocleus, John P. (L)","Riley, Bob (R)",Write-In,Total
Autauga,5137,281,9345,37,14800
Baldwin,12736,937,31052,119,44844
Barbour,4858,94,3183,18,8153
Bibb,3178,76,3091,0,6345
Blount,6393,369,8866,49,15677
Bullock,2825,49,1051,0,3925
Butler,3354,93,3376,15,6838
Calhoun,17718,448,15190,62,33418
Chambers,4767,120,4837,0,9724
Cherokee,3500,99,2489,8,6096
Chilton,5679,197,7787,35,13698
Choctaw,2780,37,2287,0,5104
Clarke,4245,67,4563,20,8895
Clay,2094,69,3176,11,5350
Cleburne,2172,89,2680,16,4957
Coffee,5839,211,6846,24,12920
Colbert,9783,248,7069,36,17136
Conecuh,2638,60,2276,12,4986
Coosa,2521,69,1812,4,4406
Covington,4931,144,6362,22,11459
Crenshaw,1931,82,2386,10,4409
Cullman,10974,761,14049,75,25859
Dale,5106,142,6717,41,12006
Dallas,10285,109,5663,25,16082
DeKalb,8547,330,9502,11,18390
Elmore,6830,510,13834,46,21220
Escambia,3972,90,4776,31,8869
Etowah,17942,539,13371,102,31954
Fayette,3858,132,3368,22,7380
Franklin,4688,127,3708,22,8545
Geneva,2958,123,4751,25,7857
Greene,3576,20,666,4,4266
Hale,4407,32,1945,7,6391
Henry,2684,60,2750,5,5499
Houston,9018,231,16183,60,25492
Jackson,7007,224,5216,28,12475
Jefferson,119918,3152,92079,300,215449
Lamar,2908,71,2826,0,5805
Lauderdale,13054,534,12586,85,26259
Lawrence,6192,188,4100,27,10507
Lee,11772,826,16515,0,29113
Limestone,9499,410,10744,55,20708
Lowndes,4084,40,1347,9,5480
Macon,5987,76,919,4,6986
Madison,43431,2579,43463,267,89740
Marengo,4909,48,2938,11,7906
Marion,5303,164,4770,25,10262
Marshall,10426,546,12508,63,23543
Mobile,50782,2012,56577,66,109437
Monroe,3755,63,4372,25,8215
Montgomery,37109,1113,32254,28,70504
Morgan,15983,824,19461,0,36268
Perry ,3613,9,1335,6,4963
Pickens,3923,58,2719,9,6709
Pike,3846,110,4357,23,8336
Randolph,3302,100,4210,0,7612
Russell,6696,90,3944,24,10754
Shelby,14964,925,33536,143,49568
St. Clair,8026,316,11443,50,19835
Sumter,3868,35,1176,5,5084
Talladega,12534,222,9457,37,22250
Tallapoosa,6558,213,7929,35,14735
Tuscaloosa,23970,687,21108,77,45842
Walker,11857,367,8595,28,20847
Washington,3323,75,2814,16,6228
Wilcox,3284,22,1302,6,4614
Winston,3298,128,4618,25,8069
Total,669105,23272,672225,2451,1367053
