County,Paul Hubbert,Don Siegelman
Autauga,3313,3007
Baldwin,2920,3857
Barbour,2632,1734
Bibb,2080,1710
Blount ,2878,2525
Bullock,1432,798
Butler,2318,2063
Calhoun,7748,5931
Chambers,2391,1851
Cherokee,2086,1763
Chilton,3018,2670
Choctaw,1488,1282
Clarke,2955,2132
Clay,1884,1694
Cleburne,2333,1928
Coffee,2344,2312
Colbert,4853,3148
Conecuh,2343,2145
Coosa,1353,985
Covington,4362,4824
Crenshaw,1842,1667
Cullman,8786,5143
Dale,2252,2759
Dallas,4991,6008
Dekalb,3633,2809
Elmore,3728,2694
Escambia,2655,1892
Etowah,8595,9034
Fayette,4270,1110
Franklin,3013,1647
Geneva,1355,1510
Greene,2685,1245
Hale,3233,1993
Henry,1933,2256
Houston,3315,3784
Jackson,3006,2540
Jefferson,38632,29671
Lamar,2995,1625
Lauderdale,6518,4668
Lawrence,5027,3547
Lee,4238,3696
Limestone,5556,3752
Lowndes,1169,808
Macon,3637,1779
Madison,9523,14078
Marengo,4143,2788
Marion,5797,3236
Marshall,6161,6083
Mobile,13104,30515
Monroe,2868,1712
Montgomery,19436,13215
Morgan,7210,6248
Perry,1398,2003
Pickens,2357,1498
Pike,3965,3127
Randolph,2791,1671
Russell,1924,1292
Shelby,1972,1758
St. Clair,3251,3028
Sumter,3646,1676
Talladega,6029,3934
Tallapoosa,5340,4412
Tuscaloosa,9603,6638
Walker,9739,7066
Washington,2756,2744
Wilcox,1490,2085
Winston,1311,785
Calculated,309609,267588
Reported,309609,267588
