Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,Total Number of Votes,Absentee,Ararat,Barrytown,Bladon Sprgs.,Bogueloosa,Branch,Butler,Chappell Hill,Cromwell,Crossroads,Cullomburg,Gilbertown,Halsell,Hurricane,Intersection,Isney,Lavaca,Lisman,Lusk,Melvin,Mt. Sterling,Pelham,Pennington,Pleasant Valley,Pushmataha,Riderwood,Rock Springs,Silas,Souwilpa,Toomey ,Toxey,Womack Hill,Yantley
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CHOCTAW,"US HOUSE, CONGRESSIONAL DISTRICT 7",WI,WRITE-IN,15,0,0,1,0,0,1,4,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
12,CHOCTAW,"STATE SENATE, DISTRICT 22",DEM,"Lindsey, Pat",1925,48,51,49,75,94,142,473,64,0,0,47,142,0,13,0,14,0,0,65,68,32,0,0,28,94,74,14,99,19,65,115,40,0
12,CHOCTAW,"STATE SENATE, DISTRICT 22",REP,"Day, Sheldon A.",1616,42,47,108,8,124,38,415,83,0,0,32,135,0,12,0,37,0,0,77,16,19,0,0,93,7,7,31,125,21,47,57,35,0
12,CHOCTAW,"STATE SENATE, DISTRICT 22",WI,WRITE-IN,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12,CHOCTAW,"STATE SENATE, DISTRICT 24",DEM,"Steele, Charles, Jr.",1268,51,0,0,0,0,0,132,0,53,63,0,0,45,0,46,0,125,195,0,0,75,87,202,0,0,0,0,0,0,0,0,0,194
12,CHOCTAW,"STATE SENATE, DISTRICT 24",WI,WRITE-IN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,CHOCTAW,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 65",DEM,"Dolbare, Jeff",2073,55,57,51,77,114,147,456,75,0,0,58,159,0,15,0,18,0,0,79,71,31,0,0,53,97,70,14,128,20,78,110,40,0
12,CHOCTAW,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 65",REP,"Williams, Nick",1364,31,37,100,7,99,31,404,65,0,0,23,110,0,7,0,30,0,0,56,10,19,0,0,61,4,9,28,97,19,33,56,28,0
12,CHOCTAW,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 65",WI,WRITE-IN,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,CHOCTAW,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 68",DEM,"Jackson, Thomas E.",1287,52,0,0,0,0,0,139,0,61,63,0,0,45,0,46,0,123,197,0,0,76,86,204,0,0,0,0,0,0,0,0,0,195
12,CHOCTAW,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 68",WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CHOCTAW,STATEWIDE AMENDMENT #1,,YES,2504,88,43,74,39,119,76,617,91,30,28,43,143,30,18,24,33,97,62,67,52,45,23,134,58,57,55,21,101,18,73,81,41,23
12,CHOCTAW,STATEWIDE AMENDMENT #1,,NO,728,13,13,22,6,49,16,171,23,9,4,10,51,4,3,1,9,25,18,46,4,17,6,42,14,15,4,16,35,6,20,38,11,7
12,CHOCTAW,STATEWIDE AMENDMENT #2,,YES,1429,46,22,29,38,43,66,301,37,28,15,12,70,20,16,23,13,65,50,40,43,31,15,85,21,49,42,8,60,10,31,37,39,24
12,CHOCTAW,STATEWIDE AMENDMENT #2,,NO,1577,41,32,64,5,116,23,442,64,11,15,35,100,9,5,3,26,50,26,62,13,24,12,77,38,21,12,26,72,12,46,69,19,7
12,CHOCTAW,STATEWIDE AMENDMENT #3,,YES,2018,62,42,67,31,84,72,470,67,28,22,28,102,26,15,20,21,86,52,75,44,34,23,114,48,54,44,11,94,11,61,56,33,21
12,CHOCTAW,STATEWIDE AMENDMENT #3,,NO,1001,19,17,23,10,71,23,262,33,12,8,21,75,7,4,2,13,28,18,35,10,21,6,63,20,14,11,21,45,7,31,44,17,10
