County,John Patterson,George Wallace
Autauga,1897,1383
Baldwin,4968,3967
Barbour,426,4586
Bibb,2693,780
Blount ,4384,2659
Bullock,588,1275
Butler,2921,1818
Calhoun,8183,5306
Chambers,6129,1934
Cherokee,3287,1979
Chilton,3825,2353
Choctaw,1884,1589
Clarke,3892,2153
Clay,4100,1040
Cleburne,3169,872
Coffee,1678,4521
Colbert,4283,5709
Conecuh,2110,1754
Coosa,2312,1077
Covington,6400,4422
Crenshaw,2744,2375
Cullman,4671,5644
Dale,1294,4269
Dallas,3570,2511
Dekalb,6766,3429
Elmore,3954,3224
Escambia,5222,2872
Etowah,12268,8848
Fayette,2986,2803
Franklin,3477,3671
Geneva,2526,3307
Greene,878,692
Hale,1475,1013
Henry,1021,2533
Houston,3146,5918
Jackson,4250,2725
Jefferson,49993,31627
Lamar,3654,2651
Lauderdale,4443,7309
Lawrence,3425,2649
Lee,3483,2393
Limestone,3720,2459
Lowndes,820,734
Macon,1217,1512
Madison,6046,5028
Marengo,2404,1704
Marion,4174,3589
Marshall,7495,4986
Mobile,17629,18445
Monroe,2284,1559
Montgomery,9997,11215
Morgan,6498,4821
Perry,1571,726
Pickens,3020,1660
Pike,1873,3685
Randolph,3628,1832
Russell,3214,3080
Shelby,4974,2740
St. Clair,4046,2092
Sumter,1277,492
Talladega,7354,4289
Tallapoosa,6418,2979
Tuscaloosa,8349,6242
Walker,6805,7599
Washington,3195,1638
Wilcox,1353,664
Winston,1617,1041
Calculated,315353,250451
Reported,315353,250451
