County,Paul Hubbert (D),Guy Hunt (R)
Autauga,4521,6833
Baldwin,12033,17382
Barbour,4863,3100
Bibb,3181,2901
Blount,4524,8457
Bullock,3173,1301
Butler,3928,3633
Calhoun,13891,15097
Chambers,5950,4045
Cherokee,3193,2188
Chilton,5155,7286
Choctaw,4142,2067
Clarke,4900,4543
Clay,2162,2495
Cleburne,2017,2031
Coffee,5249,5852
Colbert,8908,6556
Conecuh,3159,2491
Coosa,2149,1761
Covington,5081,7010
Crenshaw,2381,2462
Cullman,9314,14139
Dale,4506,6247
Dallas,8894,6660
Dekalb,8017,9110
Elmore,6152,9692
Escambia,4424,4292
Etowah,16408,15992
Fayette,4686,2648
Franklin,4858,3752
Geneva,3460,4808
Greene,3138,963
Hale,3481,2121
Henry,2607,2894
Houston,7945,14177
Jackson,5865,4371
Jefferson,95287,116034
Lamar,3163,2271
Lauderdale,12089,9800
Lawrence,5294,2984
Lee,9964,9919
Limestone,6454,7715
Lowndes,3284,1243
Macon,6130,1202
Madison,27279,44799
Marengo,4503,3649
Marion,6219,4342
Marshall,7138,11140
Mobile,48633,48132
Monroe,3816,3627
Montgomery,35509,34223
Morgan,11930,17707
Perry,3262,1747
Pickens,3322,2995
Pike,4827,4901
Randolph,3165,2969
Russell,5963,2613
Shelby,8186,22006
St. Clair,5169,9053
Sumter,4007,1386
Talladega,9438,10013
Tallapoosa,6227,7440
Tuscaloosa,19563,19669
Walker,12916,9121
Washington,3746,2376
Wilcox,3385,1619
Winston,3923,5467
Calculated,582106,633519
Reported,582106,633519
