Unnamed: 0,County,"Bill Cleghorn, Jr.",Nathan Lipscomb,Jack Thompson
,Autauga,252,696,484
,Baldwin,1548,6246,2756
,Barbour,23,36,30
,Bibb,41,67,130
,Blount ,380,261,690
,Bullock,2,16,6
,Butler,38,43,81
,Calhoun,644,644,469
,Chambers,43,32,68
,Cherokee,19,24,15
,Chilton,219,364,704
,Choctaw,35,9,10
,Clarke,43,107,88
,Clay,11,17,30
,Cleburne,7,10,14
,Coffee,178,121,488
,Colbert,177,204,490
,Conecuh,33,39,48
,Coosa,42,40,78
,Covington,99,100,79
,Crenshaw,6,13,25
,Cullman,837,389,885
,Dale,205,281,484
,Dallas,89,82,186
,Dekalb,143,166,455
,Elmore,665,740,1557
,Escambia,51,156,101
,Etowah,972,651,1276
,Fayette,17,12,47
,Franklin,35,26,100
,Geneva,78,151,89
,Greene,0,0,0
,Hale,3,9,11
,Henry,14,27,35
,Houston,616,947,1413
,Jackson,56,73,66
,Jefferson,9354,7931,26626
,Lamar,3,3,29
,Lauderdale,373,401,808
,Lawrence,50,42,98
,Lee,405,631,754
,Limestone,209,373,900
,Lowndes,18,24,30
,Macon,26,39,41
,Madison,2890,5095,5485
,Marengo,22,19,34
,Marion,80,68,142
,Marshall,264,322,327
,Mobile,2057,8795,6472
,Monroe,77,151,63
,Montgomery,2649,3379,6195
,Morgan,810,996,2219
,Perry,5,3,10
,Pickens,27,16,48
,Pike,106,121,275
,Randolph,29,33,39
,Russell,58,48,63
,Shelby,2189,2586,8833
,St. Clair,714,695,1564
,Sumter,4,10,20
,Talladega,478,412,279
,Tallapoosa,109,88,206
,Tuscaloosa,660,772,1781
,Walker,323,172,297
,Washington,5,19,20
,Wilcox,16,14,31
,Winston,2363,376,1073
,Calculated,33994,46433,78250
,Reported,33994,46432,78250
