County,K.C. Foster,Sid McDonald ,Bob Muncaster,Ralph Price,Fred Sandefer,Cornelia Wallace,Chas. Woods
Autauga,10,372,14,8,4,0,0
Baldwin,14,2146,23,6,6,8,42
Barbour,16,120,11,44,8,0,0
Bibb,26,582,8,5,2,0,6
Blount ,114,1992,8,5,5,0,5
Bullock,14,151,14,9,5,8,8
Butler,14,445,3,9,6,0,1
Calhoun,294,6663,28,35,17,1,0
Chambers,19,178,12,5,5,0,0
Cherokee,37,1305,9,19,4,5,12
Chilton,160,746,35,11,5,0,1
Choctaw,4,158,3,2,2,4,29
Clarke,10,782,11,8,2,0,1
Clay,134,348,16,9,1,0,2
Cleburne,29,395,4,3,0,0,0
Coffee,10,284,48,8,2,0,0
Colbert,113,2707,58,40,10,0,4
Conecuh,26,337,5,28,4,0,0
Coosa,12,310,6,6,4,1,12
Covington,108,375,25,133,7,0,0
Crenshaw,71,126,9,11,10,0,0
Cullman,52,3982,30,22,14,1,1
Dale,14,240,10,12,5,0,7
Dallas,21,1037,11,12,12,0,0
Dekalb,26,3437,12,7,0,9,81
Elmore,14,580,40,15,3,0,0
Escambia,99,447,19,99,4,22,55
Etowah,331,9079,63,28,12,0,2
Fayette,111,1051,6,3,0,0,14
Franklin,66,774,8,6,6,0,1
Geneva,37,300,11,60,1,0,0
Greene,6,178,5,0,1,3,2
Hale,16,334,6,11,6,0,0
Henry,23,148,8,11,1,0,0
Houston,389,568,45,28,9,2,0
Jackson,55,1980,25,11,4,0,0
Jefferson,136,34123,237,117,137,2,6
Lamar,21,311,3,6,0,10,27
Lauderdale,128,4273,37,27,7,1,2
Lawrence,130,1101,8,4,1,0,0
Lee,11,526,39,22,2,11,32
Limestone,68,1332,20,18,7,1,3
Lowndes,5,135,10,4,1,0,1
Macon,4,77,12,8,2,5,11
Madison,73,12204,61,47,14,1,4
Marengo,26,508,22,18,3,0,5
Marion,16,865,14,9,4,8,40
Marshall,194,7287,26,16,10,10,59
Mobile,685,10117,154,87,56,0,0
Monroe,37,389,3,24,3,5,17
Montgomery,45,4123,177,41,39,33,35
Morgan,79,3926,33,31,7,0,0
Perry,4,335,9,0,3,2,4
Pickens,18,571,7,5,2,5,14
Pike,12,470,13,15,1,29,33
Randolph,18,188,26,19,7,2,4
Russell,13,210,46,28,19,1,1
Shelby,78,1696,22,9,67,0,4
St. Clair,30,2876,36,24,7,0,1
Sumter,6,313,7,5,3,5,17
Talladega,391,2270,33,14,13,2,0
Tallapoosa,20,619,15,18,0,2,28
Tuscaloosa,141,4810,21,21,12,0,0
Walker,43,2780,22,13,6,4,31
Washington,7,320,7,5,1,10,23
Wilcox,11,205,4,4,0,3,7
Winston,3,313,3,8,1,1,5
Calculated,4948,143930,1776,1396,622,217,700
Reported,4948,143930,1776,1396,622,217,700
