County,W.M. Beck,Robert Bell,Elbert Boozer,Eugene Conner,Jas. M. Dement
Autauga,14,17,107,106,0
Baldwin,32,185,300,76,9
Barbour,18,10,52,61,3
Bibb,15,42,117,222,1
Blount,84,351,541,141,1
Bullock,3,19,100,62,0
Butler,20,56,371,50,0
Calhoun,160,167,7449,151,6
Chambers,66,48,905,91,9
Cherokee,241,206,1681,79,1
Chilton,24,104,121,393,3
Choctaw,14,77,201,71,1
Clarke,17,155,274,201,8
Clay,23,132,1116,119,0
Cleburne,17,17,1714,29,0
Coffee,6,16,119,31,2
Colbert,290,1334,681,142,13
Conecuh,8,39,245,49,1
Coosa,63,51,507,133,1
Covington,17,209,252,76,2
Crenshaw,16,25,338,17,1
Cullman,189,1093,1475,191,16
Dale,4,25,199,38,6
Dallas,6,65,84,269,0
Dekalb,4061,103,1254,98,13
Elmore,28,91,469,39,2
Escambia,30,42,608,37,4
Etowah,319,299,3340,320,17
Fayette,24,19,121,73,0
Franklin,160,923,429,46,7
Geneva,13,16,62,36,2
Greene,4,12,26,93,1
Hale,9,38,29,71,2
Henry,16,22,134,81,1
Houston,29,56,165,190,7
Jackson,402,297,537,22,7
Jefferson,612,693,2824,11290,30
Lamar,115,53,347,289,4
Lauderdale,459,1160,924,193,69
Lawrence,93,565,1007,190,47
Lee,36,96,233,69,2
Limestone,24,668,208,92,1512
Lowndes,5,14,52,88,1
Macon,7,73,102,69,0
Madison,128,4845,714,123,42
Marengo,16,22,264,220,2
Marion,211,397,516,217,24
Marshall,424,1068,2205,123,9
Mobile,426,618,2079,450,43
Monroe,9,175,96,25,1
Montgomery,171,206,643,153,17
Morgan,183,1343,1691,320,24
Perry,30,20,164,95,0
Pickens,23,133,171,93,1
Pike,28,113,282,42,3
Randolph,62,64,2241,65,1
Russell,14,15,9,113,1
Shelby,24,63,154,467,4
St. Clair,48,110,808,164,1
Sumter,14,15,55,218,0
Talladega,134,358,2056,708,5
Tallapoosa,103,83,592,86,1
Tuscaloosa,135,448,629,224,26
Walker,192,149,386,354,8
Washington,21,46,264,65,1
Wilcox,3,14,31,49,1
Winston,26,183,151,71,3
Calculated,10218,20171,48021,20629,2030
Reported,10128,20171,48021,20629,2030
