Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,Total Number of Votes,ABSENTEE VOTERS,ARGUTA-VOTING HOUSE,ARITON-CITY HALL,BERTHA-VOTING HALL,CLAYHATCHEE-COMMUNITY HOUSE,CLOPTON-VOTING HALL,DALEVILLE-CITY HALL .1,DALEVILLE-CITY HALL .2,ECHO-VOTING HALL,EWELL-VOTING HALL,FORT RUCKER ELEMENTARY SCHOOL,GRIMES-COMMUNITY CENTER,LEVEL PLAINS-COMMUNITY CENTER,MARLEY MILL-FORESTRY COMM_,MIDLAND CITY-VOTING HALL,NEWTON-CITY HALL,OZARK CENTER 1 <EAST A-G> .1,OZARK CENTER 1 <EAST A-G> .2,OZARK CENTER 2 MEM_ LIB H-L,OZARK CENTER 3 <WEST M-Z> .1,OZARK CENTER 3 <WEST M-Z> .2,PINCKARD-CITY HALL,ROCKY HEAD-COMMUNITY HOUSE,SKIPPERVILLE-VOTING HALL,SYLVAN GROVE-VOTING HALL
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DALE,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,12076,306,92,522,162,276,87,965,189,495,676,43,347,877,718,492,649,1203,105,734,453,1214,616,333,349,173
23,DALE,GOVERNOR,DEM,"Siegelman, Don",5106,117,43,207,57,96,40,484,93,147,268,8,132,397,282,258,229,573,44,379,185,598,208,95,132,34
23,DALE,GOVERNOR,LIB,"Sophocleus, John P.",142,3,0,4,1,1,0,22,4,7,6,0,5,8,7,9,12,16,0,6,3,11,3,7,6,1
23,DALE,GOVERNOR,REP,"Riley, Bob",6717,182,49,305,103,176,46,451,91,340,395,35,206,466,425,224,398,601,59,341,260,598,399,227,203,137
23,DALE,GOVERNOR,WI,WRITE-IN,41,2,0,1,1,1,0,3,0,1,1,0,1,2,1,0,3,8,1,3,2,4,1,2,2,1
23,DALE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",6086,158,48,268,71,125,43,519,90,211,316,9,185,434,339,281,302,666,45,418,217,687,276,124,172,82
23,DALE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",214,4,5,8,5,1,2,26,6,7,13,0,8,11,9,11,17,26,1,6,9,13,6,8,10,2
23,DALE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",5591,137,39,237,84,145,39,411,91,267,336,34,153,423,354,190,311,499,57,297,222,498,323,194,161,89
23,DALE,LIEUTENANT GOVERNOR,WI,WRITE-IN,27,1,0,0,1,0,1,1,0,1,1,0,1,2,1,1,1,4,0,1,0,7,1,2,0,0
23,DALE,UNITED STATES SENATOR,DEM,"Parker, Susan",3219,71,20,117,35,47,13,302,49,89,169,5,78,250,149,169,138,399,29,252,116,423,138,53,82,26
23,DALE,UNITED STATES SENATOR,LIB,"Allen, Jeff",152,3,3,8,3,3,1,21,4,1,9,1,2,7,9,10,4,16,1,4,5,14,8,9,3,3
23,DALE,UNITED STATES SENATOR,REP,"Sessions, Jeff",8557,229,68,392,122,225,72,633,134,401,488,37,267,612,548,300,491,777,74,466,327,769,460,264,257,144
23,DALE,UNITED STATES SENATOR,WI,WRITE-IN,26,0,0,0,1,1,0,1,1,0,1,0,0,1,1,2,3,3,0,2,1,4,0,2,2,0
23,DALE,ATTORNEY GENERAL,DEM,"Whigham, Boyd",4010,100,33,169,48,79,35,370,63,95,221,6,104,294,231,206,180,463,36,288,140,466,161,60,125,37
23,DALE,ATTORNEY GENERAL,LIB,"Myers, Wilson",244,4,4,10,4,4,1,27,8,5,16,0,7,22,10,9,14,24,2,13,7,25,11,10,5,2
23,DALE,ATTORNEY GENERAL,REP,"Pryor, Bill",7446,195,47,330,107,179,49,548,116,378,417,36,227,539,449,260,424,700,63,396,293,688,425,250,201,129
23,DALE,ATTORNEY GENERAL,WI,WRITE-IN,35,0,1,0,2,0,0,1,0,1,1,0,1,3,2,1,2,4,1,6,2,3,1,1,2,0
23,DALE,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",4670,97,37,161,50,99,33,435,78,127,244,3,155,342,238,238,214,561,39,327,180,545,209,75,138,45
23,DALE,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",301,7,4,13,2,3,0,39,8,8,21,1,6,22,14,13,20,27,1,21,7,29,16,11,7,1
23,DALE,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",6529,182,46,318,98,154,50,461,99,331,372,38,167,483,422,213,372,574,61,352,246,600,359,230,184,117
