County,"Parker, Susan (D)","Allen, Jeff (L)","Sessions, Jeff (R)",Write-In,Totals
Autauga,3819,199,10687,23,14728
Baldwin,9525,848,34327,58,44758
Barbour,3793,114,4057,8,7972
Bibb,2553,77,3667,0,6297
Blount,4027,281,11249,31,15588
Bullock,2372,47,1141,0,3560
Butler,2833,75,3845,16,6769
Calhoun,12784,568,19680,54,33086
Chambers,4313,139,5114,0,9566
Cherokee,2754,109,3164,12,6039
Chilton,4074,225,9278,29,13606
Choctaw,2399,47,2585,0,5031
Clarke,3640,56,5079,7,8782
Clay,1791,87,3329,5,5212
Cleburne,1656,151,2931,13,4751
Coffee,3664,190,9018,21,12893
Colbert,8446,236,8377,30,17089
Conecuh,2345,85,2442,10,4882
Coosa,2050,81,2205,8,4344
Covington,3149,180,8011,15,11355
Crenshaw,1585,49,2722,8,4364
Cullman,8638,464,16734,42,25878
Dale,3219,152,8557,26,11954
Dallas,9185,175,6520,24,15904
DeKalb,6023,298,11006,4,17331
Elmore,5198,334,15605,31,21168
Escambia,3135,102,5556,16,8809
Etowah,12999,651,18105,57,31812
Fayette,3104,144,3998,17,7263
Franklin,3952,102,4422,16,8492
Geneva,1654,126,6014,18,7812
Greene,3277,41,836,2,4156
Hale,3909,94,2276,4,6283
Henry,1885,93,3449,5,5432
Houston,6132,291,18898,44,25365
Jackson,5772,236,6319,26,12353
Jefferson,101555,2541,110491,101,214688
Lamar,2477,85,3138,0,5700
Lauderdale,11669,347,14183,31,26230
Lawrence,5793,142,4542,14,10491
Lee,10832,574,17577,0,28983
Limestone,8508,277,11873,29,20687
Lowndes,3361,62,1740,6,5169
Macon,5542,94,1261,8,6905
Madison,32476,1631,55229,111,89447
Marengo,4074,67,3663,14,7818
Marion,4265,160,5760,21,10206
Marshall,7018,532,15802,36,23388
Mobile,40454,1809,64135,13,106411
Monroe,3058,90,4972,12,8132
Montgomery,31465,781,35760,21,68027
Morgan,14903,523,20958,0,36384
Perry,3455,28,1417,3,4903
Pickens,3300,96,3254,2,6652
Pike,3090,102,5093,10,8295
Randolph,2916,128,4261,0,7305
Russell,5976,164,4382,18,10540
Shelby,10215,618,38614,69,49516
St. Clair,5454,347,13914,28,19743
Sumter,3667,47,1290,8,5012
Talladega,9915,302,11859,35,22111
Tallapoosa,5288,206,9048,26,14568
Tuscaloosa,19320,740,25483,15,45558
Walker,9379,311,11079,7,20776
Washington,2647,84,3412,17,6160
Wilcox,2928,38,1572,3,4541
Winston,2224,161,5596,12,7993
Total,538878,20234,792561,1350,1353023
