County,Leo Suiter (ACP),George Wallace (D),Henri Klinger (L),John Dyer (AP),Emory Folmar (R),John Jackson (NDPA),Martin Boyers (SWP)
Autauga,243,5158,30,35,4304,22,2
Baldwin,378,12090,82,150,11955,55,22
Barbour,221,6449,19,18,1617,26,2
Bibb,2,3715,6,4,1069,6,1
Blount,105,6331,27,45,4077,1,14
Bullock,143,3968,36,8,1027,85,3
Butler,200,4576,19,20,2665,12,4
Calhoun,87,15831,350,53,10710,241,160
Chambers,173,6007,19,35,3218,25,7
Cherokee,84,4091,7,17,1050,2,11
Chilton,38,6978,179,6,4282,18,93
Choctaw,5,4968,3,4,933,17,1
Clarke,304,5740,7,33,2986,11,1
Clay,14,2924,46,1,1464,8,15
Cleburne,21,2543,4,8,1072,1,0
Coffee,193,7190,28,28,4315,13,2
Colbert,484,11626,31,80,4566,12,63
Conecuh,19,4342,64,8,1623,23,0
Coosa,53,2419,10,5,1086,5,2
Covington,38,8356,124,5,4869,45,3
Crenshaw,14,3721,63,2,1554,19,11
Cullman,78,10991,133,31,7079,24,70
Dale,178,6694,240,72,3861,19,1
Dallas,478,8921,33,62,5700,109,7
Dekalb,92,10087,9,85,5711,4,7
Elmore,283,7583,48,60,6174,37,0
Escambia,40,6930,259,14,2828,64,2
Etowah,142,20760,274,26,9929,193,71
Fayette,6,4517,37,10,1838,0,8
Franklin,17,6717,6,21,2141,2,0
Geneva,16,5830,119,5,2139,24,32
Greene,5,3246,12,2,639,26,0
Hale,181,3836,21,14,1236,15,1
Henry,20,3731,5,7,1322,5,1
Houston,87,10780,266,17,9230,65,113
Jackson,247,8897,21,38,2235,13,11
Jefferson,4796,97056,884,1379,103135,301,1135
Lamar,6,4299,2,2,1047,2,6
Lauderdale,595,14561,46,156,7901,70,24
Lawrence,24,6540,108,6,1436,46,12
Lee,393,7440,139,146,9324,41,23
Limestone,307,7838,14,53,3347,3,11
Lowndes,251,3702,6,13,1059,40,1
Macon,351,5563,33,22,1239,105,6
Madison,624,23126,426,339,24973,285,77
Marengo,267,5274,10,42,2533,11,2
Marion,10,8010,6,5,2390,6,1
Marshall,454,11385,30,140,6182,12,7
Mobile,588,48471,1748,139,37555,1407,158
Monroe,19,5453,148,5,2414,40,3
Montgomery,1334,30909,324,176,31028,223,37
Morgan,441,13508,42,157,10015,31,18
Perry,232,4551,3,49,1474,9,0
Pickens,8,4884,13,4,1878,12,0
Pike,161,6033,13,26,3430,10,1
Randolph,196,3928,15,27,1629,7,2
Russell,585,6967,49,59,2018,27,4
Shelby,236,6445,18,83,4636,14,4
St. Clair,223,7950,76,80,11741,41,10
Sumter,26,4848,16,3,1073,99,5
Talladega,87,10126,400,19,5951,171,62
Tallapoosa,269,7414,26,58,4721,21,0
Tuscaloosa,671,18040,262,116,13153,109,69
Walker,79,11776,160,21,4870,280,64
Washington,8,5356,2,2,1111,5,16
Wilcox,3,5446,7,2,1426,10,2
Winston,3,5096,8,6,3622,8,77
Calculated,17936,650538,7671,4364,440815,4693,2578
Reported,17936,650538,7671,4364,440815,4693,2578
