Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,Total Number of Votes,Absentee,Beaverton-Brown N,Beaverton-Brown S,Bedford-Military,Blooming Grove,Crews-Goode,Crossville-Lawrence,Detroit-Millville,Fairview-Sizemore,Fernbank-Wilson,Henson Sprgs,Hightogy-Ridge,Kennedy-Steens,Millport,Molloy-Betts,Mt Olive-Guin,Mt Pleasant-Curry,Pine Sprgs,Star,Strickland-King,Sulligent-Moscow N,Sulligent-Moscow S,Trull,Vails,Vernon East,Vernon West,Challenged
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,LAMAR,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,5927,354,49,151,136,62,175,223,238,87,126,74,158,415,447,187,102,77,158,79,84,726,308,88,119,466,837,1
38,LAMAR,GOVERNOR,DEM,"Siegelman, Don",2908,207,28,85,72,21,100,104,141,57,57,34,64,181,253,69,41,34,89,13,30,414,169,27,25,184,409,0
38,LAMAR,GOVERNOR,LIB,"Sophocleus, John P.",71,4,3,4,2,1,2,1,3,0,0,5,2,1,5,0,0,1,0,2,0,10,9,0,0,5,11,0
38,LAMAR,GOVERNOR,REP,"Riley, Bob",2825,139,16,57,57,35,69,113,88,29,68,32,92,225,185,116,58,40,68,63,51,281,122,57,93,269,401,1
38,LAMAR,GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,LAMAR,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",3163,233,25,83,83,25,114,117,139,53,52,38,74,194,266,74,41,33,95,18,26,452,181,29,28,225,464,1
38,LAMAR,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",74,5,4,3,1,0,3,7,3,1,0,4,1,2,2,0,1,1,4,3,0,9,5,2,0,5,8,0
38,LAMAR,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",2470,100,16,59,43,31,51,90,87,29,68,31,79,211,174,104,54,37,53,56,55,241,111,49,84,219,338,0
38,LAMAR,LIEUTENANT GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,LAMAR,UNITED STATES SENATOR,DEM,"Parker, Susan",2477,184,27,68,73,19,85,91,114,48,41,33,55,148,233,48,32,23,88,16,19,355,159,24,20,148,326,0
38,LAMAR,UNITED STATES SENATOR,LIB,"Allen, Jeff",85,9,0,5,1,0,1,7,3,1,0,3,1,3,6,3,0,1,1,2,0,13,4,0,2,6,13,0
38,LAMAR,UNITED STATES SENATOR,REP ,"Sessions, Jeff",3138,142,19,71,52,37,83,114,109,35,82,36,98,254,200,129,65,48,63,59,59,333,136,58,91,295,469,1
38,LAMAR,UNITED STATES SENATOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,LAMAR,ATTORNEY GENERAL,DEM,"Whigham, Boyd",2317,160,22,62,71,15,81,83,102,48,44,32,53,140,220,52,34,27,80,13,18,325,144,22,23,133,313,0
38,LAMAR,ATTORNEY GENERAL,LIB,"Myers, Wilson",116,7,0,7,1,0,3,6,6,0,2,2,2,3,1,2,1,2,4,3,1,25,11,1,1,8,17,0
