Unnamed: 0,Clinton(D),Marrou(L),Bush(R),Fulani(I),Hagelin(I),Larouche(I),Perot(I),Warren(I)
,Gore,Lord,Qualyle,Munoz,Tompkins,Bevel,Stockdale,Debates
Autauga,4819,117,8715,8,2,2,1916,6
Baldwin,12195,269,26270,34,10,26,7656,16
Barbour,4836,80,4475,6,6,5,1020,3
Bibb,2900,8,3124,0,2,0,686,0
Blount,5433,209,8882,9,6,16,1949,1
Bullock,3259,16,1253,8,3,8,266,3
Butler,4021,67,3494,8,3,13,867,5
Calhoun,16453,252,20623,494,7,8,4714,246
Chambers,5938,34,5682,3,2,2,1427,3
Cherokee,4222,41,2745,13,4,2,846,3
Chilton,4946,24,8126,3,3,1,1363,2
Choctaw,3941,26,3069,19,2,11,489,3
Clarke,5023,65,5495,68,70,68,872,56
Clay,2073,101,2859,26,2,41,652,1
Cleburne,2144,29,2425,2,1,2,630,4
Coffee,5776,134,7591,4,2,0,2021,5
Colbert,12206,37,8073,6,6,8,2098,5
Conecuh,3155,38,2463,38,14,11,552,36
Coosa,2330,15,1973,0,0,1,476,3
Covington,5004,80,6840,141,1,1,1880,15
Crenshaw,2404,27,2339,26,4,0,485,5
Cullman,10451,48,14411,3,10,4,4113,3
Dale,5098,116,8123,9,8,2,2423,8
Dallas,11053,29,7394,7,5,2,1110,4
Dekalb,8245,62,10519,8,4,4,2741,2
Elmore,6223,35,11356,3,1,5,2765,0
Escambia,4809,131,5955,220,3,3,1616,87
Etowah,20558,88,17467,31,12,7,4277,11
Fayette,3830,13,3604,3,1,5,1012,2
Franklin,5953,21,4794,2,7,4,1075,2
Geneva,3622,37,4843,34,4,0,1323,4
Greene,3865,4,805,4,1,6,194,2
Hale,3481,30,2001,3,2,15,486,5
Henry,2804,44,2970,2,1,6,667,5
Houston,8857,32,17360,6,4,6,3492,3
Jackson,10628,90,5711,16,3,1,2462,5
Jefferson,125889,635,149832,204,42,53,22191,38
Lamar,2849,18,3262,0,4,2,763,0
Lauderdale,15936,50,13728,8,14,7,4009,4
Lawrence,6364,14,3576,0,5,4,1624,2
Lee,13770,217,16885,32,6,6,4572,2
Limestone,8087,44,9862,5,6,4,3584,5
Lowndes,3500,23,1328,3,2,4,284,4
Macon,7253,34,1134,24,4,20,283,10
Madison,38974,293,51444,57,10,24,16989,43
Marengo,5632,32,4470,48,50,57,919,36
Marion,6167,17,5692,0,1,3,1389,1
Marshall,10421,204,12249,29,6,9,3795,4
Mobile,54962,568,72935,149,29,26,15105,14
Monroe,3872,68,4919,91,3,7,758,26
Montgomery,37342,321,40742,60,9,23,7647,8
Morgan,15091,88,21073,7,11,17,7683,8
Perry,3712,36,1829,2,2,14,213,5
Pickens,3783,17,3634,5,3,9,690,1
Pike,4688,42,5423,4,5,1,1024,6
Randolph,3318,79,3813,4,7,1,919,11
Russell,8647,75,5587,10,6,1,1360,3
Shelby ,10317,76,32736,2,6,3,5022,3
St. Clair,6517,30,12447,2,7,5,2614,2
Sumter,4810,10,1807,2,5,2,388,1
Talladega,10695,125,12661,112,10,17,2629,15
Tallapoosa,5703,38,8140,4,3,4,1562,2
Tuscaloosa,23495,71,27454,20,12,7,7011,3
Walker,14831,38,11301,6,3,7,3344,4
Washington,4046,9,3270,0,3,3,829,2
Wilcox,3439,6,1671,3,4,5,174,2
Winston,3415,10,5550,1,1,0,1110,2
Totals,690080,5737,804283,2161,495,641,183105,831
% of Vote=,0.40917828736639505,0.003401715503450337,0.47689418690283203,0.0012813503927063235,0.00029350691549728374,0.00038007663198739164,0.10857087628713159,0.0004927358520772581
Total Vote=,1686502,,,,,,,
