Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,,,,,Total Number of Votes,ABSENTEE VOTERS,ALCO J_D_ JC MUSEUM,APPLETON VOL_FIRE DEPARTMENT,ATMORE CITY HALL .1,ATMORE CITY HALL .2,BARNETTS C_R_ ROBINSONS STORE,BETHEL ROBERTS CO VOTING HOUSE,BRADLEY - ROCK CREEK,BREWTON CIVIC CENTER .1,BREWTON CIVIC CENTER .2,BREWTON CIVIC CENTER .3,CANOE CIVIC CLUB BUILDING,COUNTY HWY DEPARTMENT,DAMASCUS BOYKIN SCHOOL,DIXIE VOLUNTEER FIRE DEPT_,EAST BREWTON SAILS SITE,EAST BREWTON NEAL SCHOOL,FLOMATON CITY HALL,FLOMATON COMMUNITY HOUSE,HUXFORD MASONIC LODGE,KIRKLAND NORTH BREWTON SCHOOL,LITTLE ESCAMBIA VOTING HOUSE,LITTLE ROCK STORE,MCCALL SCHOOL,MCCULLOGH VFD,NEW ORDER BAPTIST CHURCH,NOKOMIS VOTING HOUSE,PINEVIEW VOTING HOUSE,POARCH SAIL CENTER,POLLARD TOWN HALL,RACHEL PATTERSON SCHOOL,RIVERVIEW TOWN HALL,ROCK HILL RIDGE ROAD FIRE DEPT,STAFF CHEVROLET .1,STAFF CHEVROLET .2,WALLACE METHODIST CHURCH
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ESCAMBIA,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,8926,180,291,269,272,145,92,58,56,1022,616,0,185,128,215,23,628,0,312,354,142,356,146,49,356,180,474,161,118,174,186,449,191,184,426,427,61
27,ESCAMBIA,GOVERNOR,DEM,"Siegelman, Don",3972,64,136,83,251,132,25,23,23,546,297,0,34,60,142,10,317,0,120,177,43,122,49,18,89,62,316,45,35,88,78,133,74,109,112,138,21
27,ESCAMBIA,GOVERNOR,LIB,"Sophocleus, John P.",90,0,2,5,1,0,0,2,0,7,5,0,1,2,2,0,6,0,1,6,1,8,3,0,6,1,3,0,4,2,3,3,1,0,9,4,2
27,ESCAMBIA,GOVERNOR,REP,"Riley, Bob",4776,113,148,176,19,13,66,33,32,463,304,0,148,66,71,13,300,0,188,169,98,222,86,31,259,114,153,114,78,83,102,311,114,73,297,283,36
27,ESCAMBIA,GOVERNOR,WI,WRITE-IN,31,1,3,1,0,0,0,0,1,4,2,0,1,0,0,0,2,0,0,2,0,1,3,0,0,1,1,2,0,0,0,0,2,0,2,1,1
27,ESCAMBIA,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",4470,77,152,106,248,134,38,31,25,563,322,0,58,56,156,14,318,0,154,200,57,148,67,20,131,84,331,50,56,98,89,139,79,108,161,173,27
27,ESCAMBIA,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",103,1,8,2,3,1,0,4,1,8,3,0,1,3,2,0,7,0,3,8,0,6,3,0,5,1,4,2,1,3,3,4,4,0,7,4,1
27,ESCAMBIA,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",4177,98,128,155,16,7,49,20,28,434,275,0,122,67,54,9,288,0,145,137,84,198,65,29,213,95,137,108,59,64,83,302,107,72,253,246,30
