County,Ryan Degraffenried,Don Siegelman,"George Wallace, Jr."
Autauga,2773,2341,2309
Baldwin,2235,3450,1552
Barbour,1835,2260,2729
Bibb,1742,2220,1563
Blount,1793,1855,1783
Bullock,1185,994,1701
Butler,2183,1942,1578
Calhoun,7724,6406,3634
Chambers,2878,3574,2975
Cherokee,1910,1752,2134
Chilton,2064,2572,1772
Choctaw,1523,2879,2101
Clarke,3004,3364,1749
Clay,1538,1579,1237
Cleburne,1127,1607,1944
Coffee,2941,3231,2932
Colbert,3369,4492,1864
Conecuh,1377,1862,1255
Coosa,1253,1555,934
Covington,3737,3107,2515
Crenshaw,1664,1820,1481
Cullman,5806,5653,3914
Dale,2350,2970,2252
Dallas,4299,5322,2807
Dekalb,3487,3254,2791
Elmore,3107,2855,2471
Escambia,2617,3094,2101
Etowah,5503,6487,5041
Fayette,2795,2602,2472
Franklin,2623,3388,3067
Geneva,1590,2240,2073
Greene,1792,2271,628
Hale,2372,1691,936
Henry,1172,2220,1990
Houston,3170,4923,3766
Jackson,3174,2913,3220
Jefferson,36052,25951,9319
Lamar,1452,1751,2774
Lauderdale,5493,6333,3345
Lawrence,2607,4068,2779
Lee,3932,4434,2698
Limestone,3801,4534,2967
Lowndes,1180,1609,1173
Macon,1340,2160,1783
Madison,13078,11179,4433
Marengo,2861,3165,1706
Marion,2873,2758,3716
Marshall,6139,4488,3487
Mobile,9484,23814,5870
Monroe,1905,2680,1378
Montgomery,11334,11639,8488
Morgan,7871,7465,4456
Perry,2160,1652,1117
Pickens,2336,2484,2110
Pike,2068,2075,2102
Randolph,1674,1452,1653
Russell,1895,3172,2728
Shelby,1692,1858,878
St. Clair,2602,2637,2308
Sumter,1396,2659,1099
Talladega,5499,5159,2482
Tallapoosa,4973,4534,3244
Tuscaloosa,16776,6772,3561
Walker,7057,7735,5719
Washington,1664,3492,1926
Wilcox,1074,2566,1193
Winston,591,601,539
Calculated,260571,273621,174302
Reported,260571,273621,174302
