County,Jim Anton,Jim Martin,Unnamed: 3,Unnamed: 4,Unnamed: 5
Autauga,304,1171,,,
Baldwin,2345,8189,,,
Barbour,18,76,,,
Bibb,45,212,,,
Blount ,271,1208,,,
Bullock,2,27,,,
Butler,35,120,,,
Calhoun,321,1543,,,
Chambers,25,132,,,
Cherokee,9,48,,,
Chilton,235,1201,,,
Choctaw,7,35,,,
Clarke,52,191,,,
Clay,18,49,,,
Cleburne,6,25,,,
Coffee,164,660,,,
Colbert,178,719,,,
Conecuh,23,114,,,
Coosa,37,136,,,
Covington,56,240,,,
Crenshaw,14,33,,,
Cullman,429,1808,,,
Dale,225,813,,,
Dallas,66,310,,,
Dekalb,156,655,,,
Elmore,622,2555,,,
Escambia,123,168,,,
Etowah,401,3372,,,
Fayette,12,67,,,
Franklin,36,138,,,
Geneva,115,169,,,
Greene,0,1,,,
Hale,1,29,,,
Henry,18,73,,,
Houston,501,3182,,,
Jackson,46,141,,,
Jefferson,7646,41525,,,
Lamar,2,32,,,
Lauderdale,297,1354,,,
Lawrence,41,155,,,
Lee,315,1598,,,
Limestone,290,1167,,,
Lowndes,13,65,,,
Macon,75,78,,, 
Madison,2965,11433,,, 
Marengo,25,53,,,
Marion,63,249,,,
Marshall,254,695,,,
Mobile,3723,14618,,,
Monroe,47,253,,,
Montgomery,2155,11651,,,
Morgan,895,3423,,,
Perry,3,18,,,
Pickens,14,90,,,
Pike,86,496,, , 
Randolph,26,74,, ,
Russell,33,142,,,
Shelby,585,12935,,,
St. Clair,2323,2692, ,,
Sumter,4,30,,,
Talladega,184,1013,,,
Tallapoosa,82,365,,,
Tuscaloosa,668,2895,,,
Walker,255,591,,,
Washington,12,38,,,
Wilcox,10,63,,,
Winston,768,3089,,,
Calculated,30775,142490, ,,
Reported,30775,142490, ,,
