county,precinct,office,district,party,candidate,votes
Autauga,,President of the United States,,DEM,Bill Clinton,4819
Autauga,,President of the United States,,LIB,Andre Marrou,117
Autauga,,President of the United States,,REP,George Bush,8715
Autauga,,President of the United States,,IND,Lenora Fulani,8
Autauga,,President of the United States,,IND,John Hagelin,2
Autauga,,President of the United States,,IND,"Lyndon H. Larouche, Jr.",2
Autauga,,President of the United States,,IND,H. Ross Perot,1916
Autauga,,President of the United States,,IND,James Warren,6
Autauga,,United States Senator,,DEM,Richard C. Shelby,9012
Autauga,,United States Senator,,LIB,Jerome Shockley,242
Autauga,,United States Senator,,REP,Richard Sellers,4279
Autauga,,United States Senator,,NON,Write-ins,1
Autauga,,U.S. House,2,DEM,"George Wallace, Jr.",7716
Autauga,,U.S. House,2,LIB,Glynn Reeves,244
Autauga,,U.S. House,2,REP,Terry Everett,7104
Autauga,,U.S. House,2,IND,Malcolm S. Brassell,172
Autauga,,U.S. House,2,IND,Richard C. Boone,53
Autauga,,Associate Justice of the Supreme Court Place No. 1,,DEM,R.P. Almon,7152
Autauga,,Associate Justice of the Supreme Court Place No. 1,,REP,Mark Anderson,5266
Autauga,,Associate Justice of the Supreme Court Place No. 2,,DEM,Janie Shores,8197
Autauga,,Associate Justice of the Supreme Court Place No. 2,,REP,Rebecca Thomason,4637
Autauga,,Associate Justice of the Supreme Court Place No. 3,,DEM,J. Gorman Houstohn,7794
Autauga,,Associate Justice of the Supreme Court Place No. 3,,LIB,David L. Rawls,1293
Autauga,,Court of Civil Appeals Place 1,,DEM,Sharon G. Yates,6456
Autauga,,Court of Civil Appeals Place 1,,REP,Robert J. Russell,5574
Autauga,,"For President, Public Service Commission",,DEM,Jim Sullivan,9046
Autauga,,"For President, Public Service Commission",,LIB,Bill Crew,1417
Baldwin,,President of the United States,,DEM,Bill Clinton,12195
Baldwin,,President of the United States,,LIB,Andre Marrou,269
Baldwin,,President of the United States,,REP,George Bush,26270
Baldwin,,President of the United States,,IND,Lenora Fulani,34
Baldwin,,President of the United States,,IND,John Hagelin,10
Baldwin,,President of the United States,,IND,"Lyndon H. Larouche, Jr.",26
Baldwin,,President of the United States,,IND,H. Ross Perot,7656
Baldwin,,President of the United States,,IND,James Warren,16
Baldwin,,President of the United States,,NON,Write-ins,3
Baldwin,,United States Senator,,DEM,Richard C. Shelby,21036
Baldwin,,United States Senator,,LIB,Jerome Shockley,1094
Baldwin,,United States Senator,,REP,Richard Sellers,19258
Baldwin,,U.S. House,1,DEM,William A. Brewer,11951
Baldwin,,U.S. House,1,LIB,John R. Garrett,1724
Baldwin,,U.S. House,1,REP,H.L. Sonny Callahan,29426
Baldwin,,Associate Justice of the Supreme Court Place No. 1,,DEM,R.P. Almon,15759
Baldwin,,Associate Justice of the Supreme Court Place No. 1,,REP,Mark Anderson,21766
Baldwin,,Associate Justice of the Supreme Court Place No. 2,,DEM,Janie Shores,20287
Baldwin,,Associate Justice of the Supreme Court Place No. 2,,REP,Rebecca Thomason,19288
Baldwin,,Associate Justice of the Supreme Court Place No. 3,,DEM,J. Gorman Houstohn,18770
Baldwin,,Associate Justice of the Supreme Court Place No. 3,,LIB,David L. Rawls,4286
Baldwin,,Associate Justice of the Supreme Court Place No. 3,,NON,Write-ins,1
Baldwin,,Court of Civil Appeals Place 1,,DEM,Sharon G. Yates,15370
Baldwin,,Court of Civil Appeals Place 1,,REP,Robert J. Russell,21740
Baldwin,,"For President, Public Service Commission",,DEM,Jim Sullivan,19778
Baldwin,,"For President, Public Service Commission",,LIB,Bill Crew,3562
Baldwin,,"For President, Public Service Commission",,NON,Write-ins,1
Barbour,,President of the United States,,DEM,Bill Clinton,4836
Barbour,,President of the United States,,LIB,Andre Marrou,80
Barbour,,President of the United States,,REP,George Bush,4475
Barbour,,President of the United States,,IND,Lenora Fulani,6
Barbour,,President of the United States,,IND,John Hagelin,6
Barbour,,President of the United States,,IND,"Lyndon H. Larouche, Jr.",5
Barbour,,President of the United States,,IND,H. Ross Perot,1020
Barbour,,President of the United States,,IND,James Warren,3
Barbour,,United States Senator,,DEM,Richard C. Shelby,5783
Barbour,,United States Senator,,LIB,Jerome Shockley,145
Barbour,,United States Senator,,REP,Richard Sellers,2087
Barbour,,U.S. House,2,DEM,"George Wallace, Jr.",6427
Barbour,,U.S. House,2,LIB,Glynn Reeves,144
Barbour,,U.S. House,2,REP,Terry Everett,3144
Barbour,,U.S. House,2,IND,Malcolm S. Brassell,50
Barbour,,U.S. House,2,IND,Richard C. Boone,26
Barbour,,Associate Justice of the Supreme Court Place No. 1,,DEM,R.P. Almon,4634
Barbour,,Associate Justice of the Supreme Court Place No. 1,,REP,Mark Anderson,2563
Barbour,,Associate Justice of the Supreme Court Place No. 2,,DEM,Janie Shores,5195
Barbour,,Associate Justice of the Supreme Court Place No. 2,,REP,Rebecca Thomason,2305
Barbour,,Associate Justice of the Supreme Court Place No. 3,,DEM,J. Gorman Houstohn,6711
Barbour,,Associate Justice of the Supreme Court Place No. 3,,LIB,David L. Rawls,360
Barbour,,Court of Civil Appeals Place 1,,DEM,Sharon G. Yates,4635
Barbour,,Court of Civil Appeals Place 1,,REP,Robert J. Russell,2672
Barbour,,"For President, Public Service Commission",,DEM,Jim Sullivan,5651
Barbour,,"For President, Public Service Commission",,LIB,Bill Crew,429
Bibb,,President of the United States,,DEM,Bill Clinton,2900
Bibb,,President of the United States,,LIB,Andre Marrou,8
Bibb,,President of the United States,,REP,George Bush,3124
Bibb,,President of the United States,,IND,John Hagelin,2
Bibb,,President of the United States,,IND,H. Ross Perot,686
Bibb,,President of the United States,,IND,James Warren,0
Bibb,,United States Senator,,DEM,Richard C. Shelby,4877
Bibb,,United States Senator,,LIB,Jerome Shockley,78
Bibb,,United States Senator,,REP,Richard Sellers,1698
Bibb,,U.S. House,3,DEM,Glen Browder,3103
Bibb,,U.S. House,3,LIB,Rodric. D. Templeton,78
Bibb,,U.S. House,3,REP,Don Sledge,1851
Bibb,,U.S. House,6,DEM,Ben Erdreich,943
Bibb,,U.S. House,6,LIB,Mark Bodenhausen,13
Bibb,,U.S. House,6,REP,Spencer Bachus,417
Bibb,,U.S. House,6,IND,Carla Cloum,25
Bibb,,Associate Justice of the Supreme Court Place No. 1,,DEM,R.P. Almon,3666
Bibb,,Associate Justice of the Supreme Court Place No. 1,,REP,Mark Anderson,2544
Bibb,,Associate Justice of the Supreme Court Place No. 2,,DEM,Janie Shores,4013
Bibb,,Associate Justice of the Supreme Court Place No. 2,,REP,Rebecca Thomason,2224
Bibb,,Associate Justice of the Supreme Court Place No. 3,,DEM,J. Gorman Houstohn,4642
Bibb,,Associate Justice of the Supreme Court Place No. 3,,LIB,David L. Rawls,536
Bibb,,Court of Civil Appeals Place 1,,DEM,Sharon G. Yates,3694
Bibb,,Court of Civil Appeals Place 1,,REP,Robert J. Russell,2452
