County,Bill Armistead,Cheryl Bahakel,Unnamed: 3, 
Autauga,5378,1086,,
Baldwin,17667,5190,,
Barbour,285,67,,
Bibb,1571,155,,
Blount,4631,1427,,
Bullock,53,4,,
Butler,371,44,,
Calhoun,6160,1614,,
Chambers,1013,241,,
Cherokee,169,43,,
Chilton,5194,585,,
Choctaw,46,10,,
Clarke,1053,111,,
Clay,1698,419,,
Cleburne,442,161,,
Coffee,1668,589,,
Colbert,1231,289,,
Conucuh,154,24,,
Coosa,485,132,,
Covington,1489,285,,
Crenshaw,235,35,,
Cullman,5533,1464,,
Dale,1632,555,,
Dallas,515,63,,
Dekalb,2011,409,,
Elmore,6784,1274,,
Escambia,600,107,,
Etowah,4613,920,,
Fayette,352,99,,
Franklin,294,65,,
Geneva,2153,819,,
Greene,74,13,,
Hale,71,16,,
Henry,264,69,,
Houston,4329,1127,,
Jackson,773,178,,
Jefferson,45399,13943,,
Lamar,166,30,,
Lauderdale,1992,559,,
Lawrence,300,46,,
Lee,5311,1214,,
Limestone,2450,614,,
Lowndes,245,33,,
Macon,195,53,,
Madison,14949,4268,,
Marengo,425,48,,
Marion,852,286,,
Marshall,4217,1010,,
Mobile,28553,7334,,
Monroe,1554,260,,
Montgomery,17224,2407,,
Morgan,6498,1364,,
Perry,83,11,,
Pickens,179,33,,
Pike,1541,239,,
Randolph,539,112,,
Russell,608,193,,
Shelby,17606,3050,,
St. Clair,6988,2064,,
Sumter,26,2,,
Talladega,3514,749,,
Tallapoosa,2758,619,,
Tuscaloosa,8421,1699,,
Walker,1453,364,,
Washington,248,40,,
Wilcox,161,20,,
Winston,2889,793,,
Calculated,258335,63146,,
Reported,258335,63146,,
