Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,"Democratic Primary - June 6, 2006",,
,,,
,Office,State Treasurer,
,Ballot Name,Steve Segrest,Keith Douglas Williams
,County,nominee,
,Autauga,1389,681
,Baldwin,1892,1259
,Barbour,2357,1559
,Bibb,1087,681
,Blount,930,606
,Bullock,1594,816
,Butler,2178,981
,Calhoun,4629,2845
,Chambers,3174,914
,Cherokee,2345,1421
,Chilton,1748,1090
,Choctaw,2640,1914
,Clarke,2838,1806
,Clay,1243,866
,Cleburne,1001,769
,Coffee,2331,1232
,Colbert,3423,2343
,Conecuh,2117,1056
,Coosa,1720,809
,Covington,2126,1197
,Crenshaw,1767,721
,Cullman,3150,3540
,Dale,1014,702
,Dallas,5376,3527
,DeKalb,3231,2480
,Elmore,1941,853
,Escambia,1989,990
,Etowah,5147,3164
,Fayette,2338,1189
,Franklin,2810,2652
,Geneva,467,191
,Greene,1451,1596
,Hale,3704,1339
,Henry,1897,1203
,Houston,4186,1908
,Jackson,3945,3340
,Jefferson,29627,16062
,Lamar,1980,1235
,Lauderdale,4351,3978
,Lawrence,3799,2451
,Lee,3175,1081
,Limestone,3271,1825
,Lowndes,1450,1115
,Macon,3507,1352
,Madison,9621,4957
,Marengo,2615,1898
,Marion,3217,2758
,Marshall,2496,1989
,Mobile,9430,8955
,Monroe,3045,1319
,Montgomery,12355,6606
,Morgan,3534,1934
,Perry,2891,1200
,Pickens,2657,1923
,Pike,1090,636
,Randolph,2229,860
,Russell,2864,1031
,Shelby,2359,1470
,St. Clair,1375,838
,Sumter,1617,1867
,Talladega,4815,2607
,Tallapoosa,2656,912
,Tuscaloosa,6645,4271
,Walker,6704,5077
,Washington,2513,2562
,Wilcox,2214,1328
,Winston,353,309
,,0.6180962104508575,0.3819037895491425
,TOTAL,227630,140646
