County,James Gullatte,Karl Harrison,George Hawkins,C.C. Owen
Autauga,6,78,35,150
Baldwin,11,24,32,70
Barbour,0,3,4,4
Bibb,2,78,36,1022
Blount,2,57,334,148
Bullock,2,5,2,14
Butler,6,79,15,145
Calhoun,13,315,548,388
Chambers,177,31,34,92
Cherokee,14,20,573,82
Chilton,3,202,59,289
Choctaw,6,23,10,207
Clarke,4,28,25,241
Clay,1,48,58,188
Cleburne,1,20,49,87
Coffee,10,28,49,82
Colbert,3,225,864,244
Conecuh,6,4,9,71
Coosa,3,83,46,95
Covington,15,29,32,142
Crenshaw,5,8,19,113
Cullman,8,89,510,273
Dale,6,1,30,30
Dallas,8,63,27,122
Dekalb,10,35,713,182
Elmore,3,78,69,113
Escambia,13,47,34,132
Etowah,20,212,10155,265
Fayette,10,44,63,212
Franklin,2,11,61,157
Geneva,7,60,29,50
Greene,5,18,13,134
Hale,1,21,4,71
Henry,1,3,18,59
Houston,4,70,52,69
Jackson,10,106,345,133
Jefferson,115,2979,2987,1361
Lamar,8,11,26,92
Lauderdale,4,201,452,611
Lawrence,5,40,184,640
Lee,31,168,50,196
Limestone,5,62,84,709
Lowndes,0,20,2,44
Macon,4,11,22,57
Madison,27,302,514,404
Marengo,2,11,23,249
Marion,4,40,122,229
Marshall,7,83,1033,247
Mobile,41,427,520,484
Monroe,10,6,6,41
Montgomery,27,370,242,561
Morgan,15,322,289,808
Perry,1,15,15,87
Pickens,2,29,54,271
Pike,10,31,12,61
Randolph,10,37,48,171
Russell,12,7,22,27
Shelby,3,3282,72,108
St. Clair,6,92,536,109
Sumter,1,15,5,161
Talladega,9,844,198,331
Tallapoosa,5,132,70,185
Tuscaloosa,11,468,1388,431
Walker,23,171,337,445
Washington,1,6,12,134
Wilcox,0,8,2,91
Winston,1,12,49,49
Calculated,798,12448,24332,15270
Reported,798,12448,24332,15270
