County,Ann Bedsole,Winton Blount,Fob James,Mickey Kirkland,Jack Pollard,Robin Swift
Autauga,309,601,700,123,2,8
Baldwin,3992,2210,5992,892,37,501
Barbour,24,38,57,6,3,1
Bibb,69,52,132,36,5,5
Blount,393,544,603,157,8,16
Bullock,2,21,12,2,0,0
Butler,64,64,131,10,1,12
Calhoun,702,585,908,296,26,60
Chambers,21,37,112,3,0,4
Cherokee,19,15,31,2,3,1
Chilton,316,421,691,235,2,7
Choctaw,18,11,11,5,0,0
Clarke,164,39,106,21,1,2
Clay,12,25,33,4,0,2
Cleburne,15,12,8,1,1,0
Coffee,220,291,436,44,16,9
Colbert,298,293,270,218,5,5
Conecuh,36,46,59,11,2,0
Coosa,39,55,80,13,1,1
Covington,49,154,156,24,5,14
Crenshaw,11,37,42,2,0,0
Cullman,585,722,681,529,12,21
Dale,177,329,564,72,9,22
Dallas,98,135,179,6,0,1
Dekalb,317,485,398,132,29,18
Elmore,512,1322,1740,170,3,28
Escambia,108,79,122,24,4,206
Etowah,949,636,1748,610,17,31
Fayette,11,29,33,23,0,1
Franklin,49,32,65,41,3,0
Geneva,70,111,202,36,7,9
Greene,5,9,0,0,0,0
Hale,7,15,9,5,0,0
Henry,12,32,47,11,0,0
Houston,668,1424,2061,339,26,31
Jackson,55,89,77,34,3,3
Jefferson,13563,12688,26788,3143,53,538
Lamar,3,19,13,8,0,0
Lauderdale,525,522,517,476,15,22
Lawrence,35,42,75,90,0,1
Lee,379,687,1168,133,8,29
Limestone,397,613,448,377,5,10
Lowndes,21,27,54,6,0,1
Macon,26,31,73,13,2,1
Madison,6433,5989,4725,2785,48,155
Marengo,42,21,39,1,0,0
Marion,69,69,114,84,1,3
Marshall,367,442,308,206,5,8
Mobile,8385,4852,8597,2054,45,727
Monroe,202,80,115,28,2,14
Montgomery,2824,5126,7349,917,4,201
Morgan,1036,1155,1494,1657,10,28
Perry,6,10,10,2,0,1
Pickens,34,39,45,3,3,1
Pike,139,234,288,30,1,5
Randolph,36,33,75,12,7,3
Russell,29,51,102,10,7,2
Shelby,4285,4108,7956,1403,21,179
St. Clair,1067,811,1442,277,15,53
Sumter,11,10,11,3,2,0
Talladega,431,366,686,89,9,18
Tallapoosa,124,156,210,25,0,3
Tuscaloosa,1747,941,1284,259,9,34
Walker,224,234,382,68,7,7
Washington,24,11,12,9,1,0
Wilcox,38,6,32,3,0,1
Winston,1552,1422,1113,230,32,74
Calculated,54450,51795,84021,18538,543,3138
Reported,54449,51785,84019,18538,542,3138
