County,McDonald Gallion,Bruce Henderson,Wayne Jennings ,George Wallace
Autauga,772,26,3,1590
Baldwin,2345,45,12,3741
Barbour,205,7,7,4593
Bibb,1211,12,5,936
Blount,675,13,4,1706
Bullock,72,15,1,1450
Butler,944,77,5,2232
Calhoun,2652,172,182,4889
Chambers,1167,26,5,2335
Cherokee,246,14,2,1965
Chilton,966,18,11,3130
Choctaw,331,19,5,2219
Clarke,1224,30,3,2296
Clay,1179,20,8,1514
Cleburne,664,12,10,1592
Coffee,620,15,10,3475
Colbert,501,28,60,3505
Conecuh,519,22,4,1913
Coosa,642,8,2,982
Covington,1482,60,16,5372
Crenshaw,722,39,8,2266
Cullman,817,9,10,1636
Dale,366,25,3,3952
Dallas,1234,63,4,2901
Dekalb,728,9,7,2377
Elmore,1392,31,9,3816
Escambia,1644,24,18,3486
Etowah,2292,282,68,4312
Fayette,504,8,5,1841
Franklin,253,14,17,2721
Geneva,442,17,12,3416
Greene,154,1,2,530
Hale,305,11,0,1164
Henry,393,5,4,2557
Houston,799,29,126,5554
Jackson,476,9,21,2579
Jefferson,13001,661,59,20786
Lamar,243,4,11,2207
Lauderdale,495,24,115,3902
Lawrence,403,16,22,2193
Lee,701,120,1,2596
Limestone,629,18,403,1807
Lowndes,240,40,0,857
Macon,430,37,2,1089
Madison,1364,55,34,3004
Marengo,571,30,4,1992
Marion,292,12,7,2527
Marshall,658,18,7,2719
Mobile,9828,259,56,12974
Monroe,854,21,285,1863
Montgomery,4074,117,5,11421
Morgan,1481,62,18,3653
Perry,540,36,59,1237
Pickens,544,30,2,1982
Pike,541,16,1,3268
Randolph,640,17,1,2045
Russell,847,118,95,2889
Shelby,1519,19,9,2612
St. Clair,818,17,3,2129
Sumter,334,17,9,868
Talladega,2582,36,4,3343
Tallapoosa,1903,47,5,2990
Tuscaloosa,1493,54,7,3279
Walker,916,36,21,4721
Washington,1082,43,22,2188
Wilcox,336,467,8,859
Winston,77,4,2,519
Calculated,80374,3666,1946,207062
Reported,80374,3666,1940,207062
