County,Roger Bedford,Marilyn Bromberg,Glen Browder,Natalie Davis,Totals
Autauga,744,92,1071,367,2274.0
Baldwin,1099,148,381,1330,2958.0
Barbour,1352,231,812,206,2601.0
Bibb,1194,104,959,553,2810.0
Blount,1202,98,905,1063,3268.0
Bullock,1195,168,723,289,2375.0
Butler,1454,158,1547,635,3794.0
Calhoun,1204,242,6619,486,8551.0
Chambers,916,126,2513,198,3753.0
Cherokee,814,199,2527,327,3867.0
Chilton,1471,91,1625,534,3721.0
Choctaw,665,62,128,141,996.0
Clarke,2327,172,898,864,4261.0
Clay,378,68,2358,277,3081.0
Cleburne,340,91,2127,222,2780.0
Coffee,1437,247,856,248,2788.0
Colbert,6051,137,788,550,7526.0
Conecuh,1590,112,833,526,3061.0
Coosa,441,64,1381,338,2224.0
Covington,1815,242,1257,532,3846.0
Crenshaw,381,22,124,71,598.0
Cullman,3220,226,1529,1704,6679.0
Dale,974,171,703,314,2162.0
Dallas,3274,213,2048,943,6478.0
Dekalb,2820,206,1755,686,5467.0
Elmore,1071,112,1900,543,3626.0
Escambia,1009,162,414,511,2096.0
Etowah,2456,247,2781,1006,6490.0
Fayette,2306,96,715,725,3842.0
Franklin,6173,114,580,433,7300.0
Geneva,715,130,425,215,1485.0
Greene,1412,131,315,279,2137.0
Hale,1216,54,259,239,1768.0
Henry,1104,135,689,277,2205.0
Houston,1295,184,751,482,2712.0
Jackson,4050,489,2269,961,7769.0
Jefferson,7149,566,5410,20128,33253.0
Lamar,2409,81,485,268,3243.0
Lauderdale,7340,245,1415,1233,10233.0
Lawrence,4558,172,688,633,6051.0
Lee,1330,168,3260,803,5561.0
Limestone,2595,163,785,843,4386.0
Lowndes,909,50,170,121,1250.0
Macon,1735,121,1410,390,3656.0
Madison,4531,582,2332,4399,11844.0
Marengo,1625,79,315,272,2291.0
Marion,2227,44,320,242,2833.0
Marshall,1880,175,914,690,3659.0
Mobile,5171,521,1584,6027,13303.0
Monroe,1282,131,360,573,2346.0
Montgomery,3436,255,3251,2260,9202.0
Morgan,3744,316,1721,1495,7276.0
Perry,2194,90,413,229,2926.0
Pickens,1171,104,384,373,2032.0
Pike,1278,102,1052,419,2851.0
Randolph,844,143,3156,305,4448.0
Russell,948,200,2771,297,4216.0
Shelby,1648,210,957,2033,4848.0
St. Clair,565,168,776,436,1945.0
Sumter,2659,178,488,278,3603.0
Talladega,689,67,2805,498,4059.0
Tallapoosa,1000,100,2756,468,4324.0
Tuscaloosa,4115,329,922,2254,7620.0
Walker,6899,362,1734,3023,12018.0
Washington,2494,237,619,1265,4615.0
Wilcox,1156,58,305,146,1665.0
Winston,614,12,80,112,818.0
Calculated,141360,11573,91203,71588,315724.0
Reported,141360,11573,91203,71588,
