County,Charley Baker,Johnny Ford
Autauga,3260,2051
Baldwin,1499,1436
Barbour,3093,2687
Bibb,3097,1594
Blount,2238,621
Bullock,1340,2949
Butler,3430,2188
Calhoun,9399,5460
Chambers,4321,2356
Cherokee,1917,815
Chilton,1561,997
Choctaw,2743,2126
Clarke,2813,2928
Clay,2615,1026
Cleburne,2085,924
Coffee,4639,2150
Colbert,2837,1804
Conecuh,2222,1903
Coosa,663,766
Covington,4401,2251
Crenshaw,2469,1613
Cullman,7888,2603
Dale,2985,1759
Dallas,4999,6675
Dekalb,5717,2172
Elmore,2472,2049
Escambia,2544,1968
Etowah,7562,3390
Fayette,4258,2165
Franklin,3462,1580
Geneva,2368,1111
Greene,1049,3260
Hale,1264,1520
Henry,1629,1624
Houston,3291,2565
Jackson,5093,1931
Jefferson,12736,30176
Lamar,2459,1671
Lauderdale,5160,2609
Lawrence,4589,1735
Lee,4295,3130
Limestone,3177,1897
Lowndes,1384,3067
Macon,790,4425
Madison,8225,6279
Marengo,3707,3190
Marion,5126,3022
Marshall,7193,1937
Mobile,7782,13059
Monroe,1809,1603
Montgomery,8196,14907
Morgan,8078,4226
Perry,1603,3194
Pickens,3926,2870
Pike,1572,1383
Randolph,2171,1220
Russell,2774,2444
Shelby,1041,1194
St. Clair,3240,1497
Sumter,1072,1969
Talladega,2490,3007
Tallapoosa,4627,3370
Tuscaloosa,11035,9411
Walker,11424,4628
Washington,3279,2229
Wilcox,1108,2277
Winston,522,299
Calculated,255813,214942
Reported,255813,214942
