1992 General Election-County Results,Unnamed: 1,Unnamed: 2,President of the United States,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,United States Senator,Unnamed: 11,Unnamed: 12,Unnamed: 13,U.S. House District 1,Unnamed: 15,Unnamed: 16,Unnamed: 17,U.S. House District 2,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,U.S. House District 3,Unnamed: 25,Unnamed: 26,Unnamed: 27,U.S. House District 4,Unnamed: 29,Unnamed: 30,Unnamed: 31,U.S. House District 5,Unnamed: 33,Unnamed: 34,Unnamed: 35,U.S. House 6th District,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,U.S. House 7th District,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Associate Justice of the Supreme Court Place No. 1,Unnamed: 49,Unnamed: 50,Associate Justice of the Supreme Court Place No. 2,Unnamed: 52,Unnamed: 53,Associate Justice of the Supreme Court Place No. 3,Unnamed: 55,Unnamed: 56,Court of Civil Appeals Place 1,Unnamed: 58,Unnamed: 59,"For President, Public Service Commission",Unnamed: 61,Unnamed: 62
County,Bill Clinton (D),Andre Marrou (L),George Bush (R),Lenora Fulani (I),John Hagelin (I) ,"Lyndon H. Larouche, Jr. (I)",H. Ross Perot (I),James Warren (I),Write-In,Richard C. Shelby (D),Jerome Shockley (L),Richard Sellers (R),Write-In,William A. Brewer (D),John R. Garrett (L),H.L. Sonny Callahan (R),Write-In,"George Wallace, Jr. (D)",Glynn Reeves (L),Terry Everett (R),Malcolm S. Brassell (I),Richard C. Boone (I),Write-In,Glen Browder (D),Rodric. D. Templeton (L),Don Sledge (R),Write-In,Tom Bevill (D),Robert P. King(L),Martha  Strickland (R),Write-In,Bud Cramer (D),C. Michael Seibert (L),Terry Smith (R),Write-In,Ben Erdreich (D),Mark Bodenhausen (L),Spencer Bachus (R),Carla Cloum  (I),Write-In,Earl Hilliard (D),Michael Todd Mayer (L),Kervin Jones (R),James Chambliss (I),John Hawkins (I),James M. Lewis (I),Write-In,R.P. Almon (D),Mark Anderson (R),Write-In,Janie Shores (D),Rebecca Thomason (R),Write-In,J. Gorman Houstohn (D),David L. Rawls (L),Write-In,Sharon G. Yates (D),Robert J. Russell (R),Write-In,Jim Sullivan (D),Bill Crew  (L),Write-In
Elmore,6223,35,11356,3,1,5,2765,0,1,13288,378,6078,18,,,,,9572,180,9936,223,178,,,,,,,,,,,,,,,,,,,,,,,,,,10474,7673,3,11840,6338,,12124,2297,5,8798,8611,2,13638,2111,
Escambia,4809,131,5955,220,3,3,1616,87,,6268,300,3874,,3976,286,6134, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4590,3972,,4946,3678,,4914,523,,4558,3811,,5289,502,
Etowah,20558,88,17467,31,12,7,4277,11,,29183,851,11289,,,,,,,,,,,,,,,,29436,888,11275, ,,,,,,,,,,,,,,,,,24977,13831,,26590,12594, ,29221,4276,,25675,13227,,30204,3775,
Fayette,3830,13,3604,3,1,5,1012,2,2,6184,112,1960,4,,,,,,,,,,,,,,,6571,105,1652,5,,,,,,,,,,,,,,,,,4639,2753,2,4961,2441,1,5545,634,4,4650,2581,1,5747,531,4
Franklin,5953,21,4794,2,7,4,1075,2,,8215,208,3021,,,,,,,,,,,,,,,,8470,185,2847,,,,,,,,,,,,,,,,,,7265,3440,,6852,4352,,7814,810,,7037,3454,,8220,701,
Geneva,3622,37,4843,34,4, ,1323,4,,5629,304,1802,,,,,,4906,205,4229,28,89,1, ,,,,,,,,,,,,,,,,,,,,,,,,4235,2552,1,4451,2142,1,3881,679,1,4104,2261, ,4669,598,
Greene,3865,4,805,4,1,6,194,2,,4155,20,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778,30,550,107,20,111,,3804,570, ,3926,462,,3948,104,,3663,576,,4094,80,
Hale,3481,30,2001,3,2,15,486,5,,4227,63,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3276,84,1164,578,39,124,,3142,1118, ,3472,972,,3417,185, ,3209,1214,,3613,207,
Henry ,2804,44,2970,2,1,6,667,5,,3533,80,1162,,,,,,3694,69,2512,13,12,1,,,,,,,,,,,,,,,,,,,,,,,,,2912,1423,,3113,1279,,3038,282,,2908,1460,1,3423,240,2
Houston,8857,32,17360,6,4,6,3492,3,,18918,384,9651,,,,,,11561,154,17539,102,175,,,,,,,,,,,,,,,,,,,,,,,,,,14222,12752, ,15569,11167,,18155,3396,,13430,12788,,19949,2805,
Jackson,10628,90,5711,16,3,1,2462,5,,11396,355,3973,2,,,,,,,,,,,,,,,,,,,11815,378,4028,,,,,,,,,,,,,,9976,4233,1,10740,3987,1,10612,749,,10216,4044,1,10935,805,1
Jefferson,125889,635,149832,204,42,53,22191,38,212,178070,5085,109615,510,,,,,,,,,,,,,,,,,,,,,,,88591,1964,105910,2935,93,70667,708,13473,1064,489,7761,80,149856,128654,474,163506,117950,348,185425,30309,984,143021,132422,290,191944,27211,875
Lamar,2849,18,3262, ,4,2,763,0,3,4318,126,2015,17,,,,,,,,,,,,,,,4693,136,1742,16,,,,,,,,,,,,,,,,,3273,2410,12,3409,2345,5,3954,511,9,3248,2412,2,4127,500,15
Lauderdale,15936,50,13728,8,14,7,4009,4,26,23521,584,8509,63,,,,,,,,,,,,,,,,,,,23126,553,8978,45,,,,,,,,,,,,,21700,8646,33,21472,8831,28,22777,2758,70,19875,9329,28,23566,2600,64
Lawrence,6364,14,3576, ,5,4,1624,2,,9103,174,1971,,,,,,,,,,,,,,,,7742,185,1480,,1374,19,242,,,,,,,,,,,,,,9150,1798,,8386,2135,,8341,790,,7834,2365,,8791,670,
Lee,13770,217,16885,32,6,6,4572,2,,15983,925,13684,,,,,,,,,,,,15009,863,14231,,,,,,,,,,,,,,,,,,,,,,13188,14310, ,14153,13763,,14938,2505,,13572,13945, ,15667,2590,
Limestone,8087,44,9862,5,6,4,3584,5,9,13703,488,6657,34,,,,,,,,,,,,,,,,,,,12627,531,7722,37,,,,,,,,,,,,,12102,6975,32,12528,6426,24,13015,2436,55,11422,6927,25,13917,2097,47
Lowndes,3500,23,1328,3,2,4,284,4,,3748,55,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3062,69,597,640,30,153,1,3255,815, ,3506,633,,3314,172, ,3167,842,,3633,153,
Macon ,7253,34,1134,24,4,20,283,10,2,6818,221,700,126,   , ,, ,,,,,,,6916,155,683,,,,,,,,,,,,,,,,,,,,,,6543,826,,6834,730,,6608,255,,6598,820,,6980,217,
Madison,38974,293,51444,57,10,24,16989,43,,66537,3077,35311,,,,,,,,,,,,,,,,,,,,67997,3022,34866,,,,,,,,,,,,,,59124,39348,,62852,36479,,66902,14726,,57769,38232,,69925,13452,
Marengo,5632,32,4470,48,50,57,919,36,2,8019,80,1747,4,,,,,,,,,,,,,,, , , ,,,,,,,,,,,5701,129,1591,2218,100,450,2,6285,2226,1,6888,1812,1,6735,460,2,5915,2405,2,7315,338,1
Marion,6167,17,5692,,1,3,1389,1,,8946,241,3650,,,,,,,,,,,,,,,,9510,235,2981,, ,,,,,,,,,,,,,,,,7205,4711,,4347,4519,,8513,1183,,7047,4644, ,9033,917,
Marshall,10421,204,12249,29,6,9,3795,4,30,14665,635,7790,2,,,,,,,,,,,,,,,15527,883,7819,,,,,,,,,,,,,,,,,,12563,8162,1,13152,7968,3,12595,1690,2,12299,8099,,13437,1678,2
Mobile,54962,568,72935,149,29,26,15105,14,250,80566,3094,50731,60,52356,4005,78674,40, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66253,56799,16,72441,52931,13,75375,11018,19,64965,55654,8,80444,9836,18
Monroe,3872,68,4919,91,3,7,759,26,,5276,140,3084,,3242,138,5123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979,3374,,4265,3159,,3892,378,,3737,3427,,4507,279,
Montgomery,37342,321,40742,60,9,23,7647,8,36,55442,1331,22838,113,,,,,23415,856,34993,561,323,11,,,,,,,,,,,,,,,,,,16979,422,2283,587,155,731,16,46681,28691,11,51607,23256,8,50534,5737,9,40960,31689,7,54603,5797,6
Morgan,15091,88,21073,7,11,17,7683,8,13,26110,1100,15645,10,,,,,,,,,,,,,,,,,,,26619,1189,17050,6,,,,,,,,,,,,,24589,16105,11,24441,15875,8,27062,5788,33,22811,16650,2,28149,5323,32
Perry,3712,36,1829,2,2,14,213,5,,4215,63,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3694,70,923,148,33,320,7,2992,1116,,3920,918,,3929,175,,3544,1175,,4292,192,
Pickens,3783,17,3634,5,3,9,690,1,4,5616,107,1980,119,,,,,,,,,,,,,,,5130,119,1552,5,,,,,,,,,,755,16,202,14,5,38,,4498,2785,3,4865,2430,5,5439,615,10,4494,2683,4,5776,501,15
Pike ,4688,42,5423,4,5,1,1024,6,,7278,105,2073,,,,, ,6645,134,4235,43,36,, , , ,,,,,,,,,,,,,,,,,,,,,,5423,3060, ,6328,2371,,5969,698,,5033,3187,,6880,514,
Randolph,3318,79,3813,4,7,1,919,11,1,4079,187,2219,,,,,,,,,,,,3989,156,2372,,,,,,,,,,,,,,,,,,,,,,3155,2340,,3294,2241,,3419,438,,3324,2215,1,3642,486,
Russell,8647,75,5587,10,6,1,1360,3,1,9066,283,3831, , , ,,,,,,,,,8887,265,3727,, , ,,,,,,,,,,,,,,,,,,,7841,4089,,8127,3970,,8519,763,,8055,3949,,8739,867,2
St. Clair,6517,30,12447,2,7,5,2614,2,,11528,409,9318,,, ,,,,,,,,,9372,519,10840,,,,,,,,,,,,,,,,,,,,,,8918,11316,,9484,10716,,12175,2814,,8588,11549,,12887,2484,
Shelby,10317,76,32736,2,6,3,5022,3,,22118,755,24470,, ,,,,,,,,,,,,,,,,,,,,,,17259,499,28733,941,,,,,,,,,14411,30293,,16854,27882,,23752,6713,,14666,29236,,25215,6300,
Sumter,4810,10,1807,2,5,2,388,1,,5980,47,785,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,4805,46,927,763,43,102,,4917,1642,,5507,1006,,5811,384,,5037,1401,,6071,266,
Talladega,10695,125,12661,112,10,17,2629,15,,13594,466,8319,,,,,,,,,,,,13449,536,8102,,,,,,,,,,,,,,,,,,,,,,11006,8821,,11760,8295,,11850,1321,,10872,8312,,12644,1481,
Tallapoosa,5703,38,8140,4,3,4,1562,2,52,10042,226,4839,35,,,,,,,,,,,9432,227,5153,36,,,,,,,,,,,,,,,,,,,,,7868,5952,66,8571,5239,31,9132,1300,15,8131,5590,19,9681,1413,27
Tuscaloosa,23495,71,27454,20,12,7,7011,3,41,40937,1020,15136,77,,,,,,,,,,,,,,,,,,,,,,,19269,360,11539,620,28,12935,296,9174,687,125,1006,34,32680,20794,52,32072,18340,49,38804,5075,158,31222,21126,40,40627,4564,129
Walker,14831,38,11301,6,3,7,3344,4,,21262,490,7037,,,,,,,,,,,,,,,,21865,597,6699,,,,,,,,,,,,,,,,,,18072,9161,,18795,8415,,20964,2503,,18012,8865,,21765,2419,
Washington,4046,9,3270, ,3,3,829,2,,6209,129,1541,,3433,163,4303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4692,2432,,5173,1967,,5714,718, ,4798,2186,,6259,473,
Wilcox,3439,6,1671,3,4,5,174,2,1,4269,22,844,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,28,697,824,14,36,,3511,1128, ,3910,862, ,3778,157, ,3484,1168, ,4102,95,
Winston,3415,10,5550,1,1, ,1110,2,,5497,189,4085,,,,,,,,,,,,,,,,5699,182,3941,,,,,,,,,,,,,,,,,,3954,4971,,4058,4925, ,4983,1071, ,3915,4917,,5285,898,
,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,690080,5737,804283,2162,495,641,183109,831,723,1022698,31811,522015,1275,78742,6548,128874,40,109335,3150,112906,1426,1330,13,119175,4570,73800,59,157907,5646,66934,36,160060,6006,77951,116,126062,2836,146599,4521,121,144320,2135,36086,11466,1165,12461,140,844155,612434,786,903753,561458,573,973584,145566,1458,814999,615616,473,1030143,133609,1356
Certified,690080,5737,804283,2161,495,641,183109,831,723,1022698,31811,522015,1275,78742,6548,128874,40,109335,3150,112906,1426,1330,13,119175,4570,73800,59,157907,5646,66934,36,160060,6006,77951,116,126062,2836,146599,4521,121,144320,2135,36086,11466,1165,12461,140,844155,612434,786,909753,561458,573,973584,145566,1458,814999,615616,473,1030143,133609,1356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
