County,Ryan de Graffenried,George Wallace
Autauga,751,2192
Baldwin,4392,5956
Barbour,503,5156
Bibb,716,2372
Blount,2966,3524
Bullock,783,1700
Butler,1291,3306
Calhoun,6781,8408
Chambers,4304,3899
Cherokee,2731,3053
Chilton,1451,4686
Choctaw,883,2757
Clarke,1611,3771
Clay,1895,2800
Cleburne,1209,2774
Coffee,1549,4902
Colbert,6584,5090
Conecuh,667,2486
Coosa,1624,1848
Covington,2814,7284
Crenshaw,994,3221
Cullman,4104,5450
Dale,967,4832
Dallas,1602,4380
Dekalb,4545,5198
Elmore,1882,5273
Escambia,2392,5327
Etowah,12051,8448
Fayette,2003,3471
Franklin,2648,3439
Geneva,1306,4126
Greene,629,836
Hale,682,1830
Henry,584,3028
Houston,2048,7203
Jackson,3241,5067
Jefferson,56000,40472
Lamar,2008,3560
Lauderdale,6478,5855
Lawrence,2976,3305
Lee,2761,3659
Limestone,3887,3238
Lowndes,422,1415
Macon,2361,1555
Madison,11844,6357
Marengo,740,2740
Marion,2259,5569
Marshall,6780,6310
Mobile,23622,24919
Monroe,892,2780
Montgomery,8080,16000
Morgan,8705,5292
Perry,620,1951
Pickens,1484,3042
Pike,1234,4473
Randolph,2261,4426
Russell,1483,3524
Shelby,2564,3446
St. Clair,2558,4011
Sumter,825,1243
Talladega,5325,6797
Tallapoosa,3911,5364
Tuscaloosa,11625,6282
Walker,5867,8252
Washington,1170,3427
Wilcox,479,1412
Winston,718,961
Calculated,269122,340730
Reported,269122,340730
