Unnamed: 0,Unnamed: 1,Unnamed: 2
,,
,Agriculture Commissioner,
County,Candidate,
,Grace,McMillan
Autauga,3069,3422
Baldwin,4916,22921
Barbour,290,350
Bibb,1131,1211
Blount,4857,3394
Bullock,140,120
Butler,802,1021
Calhoun,4967,3113
Chambers,769,856
Cherokee,1000,564
Chilton,4287,3080
Choctaw,20,93
Clarke,314,1543
Clay,606,334
Cleburne,592,434
Coffee,2504,2546
Colbert,1436,1708
Conecuh,115,340
Coosa,609,562
Covington,1619,1965
Crenshaw,612,294
Cullman,6244,3776
Dale,2327,1705
Dallas,835,1023
DeKalb,2173,1614
Elmore,4692,5007
Escambia,545,2245
Etowah,4841,3826
Fayette,1266,918
Franklin,527,516
Geneva,1615,1703
Greene,181,171
Hale,493,467
Henry,1003,647
Houston,5823,4386
Jackson,1376,1204
Jefferson,29255,23122
Lamar,308,446
Lauderdale,2601,2536
Lawrence,1130,756
Lee,5011,4912
Limestone,3851,2935
Lowndes,312,352
Macon,209,172
Madison,12520,14778
Marengo,240,481
Marion,1548,1324
Marshall,7203,4077
Mobile,4266,26038
Monroe,758,1397
Montgomery,7460,11702
Morgan,9693,8222
Perry,240,316
Pickens,652,775
Pike,2055,810
Randolph,470,406
Russell,418,570
St Clair,13749,9737
Shelby,5006,3700
Sumter,48,88
Talladega,3930,2605
Tallapoosa,2484,2125
Tuscaloosa,7783,9852
Walker,6316,933
Washington,251,1073
Wilcox,222,214
Winston,2374,1291
,200959,216824
