County,Jan Cook (D)
Autauga,5610
Baldwin,12003
Barbour,4017
Bibb,3375
Blount ,5780
Bullock,3117
Butler,4186
Calhoun,16910
Chambers,5154
Cherokee,4278
Chilton,7419
Choctaw,3033
Clarke,4360
Clay,2218
Cleburne,1570
Coffee,5819
Colbert,11378
Conecuh,2900
Coosa,2722
Covington,5138
Crenshaw,2762
Cullman,12307
Dale,4970
Dallas,11794
Dekalb,9577
Elmore,7826
Escambia,3911
Etowah,20140
Fayette,4053
Franklin,4712
Geneva,3268
Greene,3578
Hale,3609
Henry,2200
Houston,15288
Jackson,6059
Jefferson,150998
Lamar,2409
Lauderdale,14225
Lawrence,5379
Lee,10187
Limestone,7368
Lowndes,3504
Macon,6162
Madison,36661
Marengo,5290
Marion,6074
Marshall,7738
Mobile,51541
Monroe,3872
Montgomery,42793
Morgan,20311
Perry,3627
Pickens,4979
Pike,4474
Randolph,3312
Russell,4530
Shelby,14600
St. Clair,7393
Sumter,4661
Talladega,10468
Tallapoosa,5421
Tuscaloosa,24355
Walker,11484
Washington,4292
Wilcox,4067
Winston,4437
Calculated,713653
Reported,713653
