Unnamed: 0,Unnamed: 1,Unnamed: 2
,,
County,U.S. Senate,
,Gavin,Sessions
Autauga,433,6110
Baldwin,1201,12831
Barbour,76,959
Bibb,46,546
Blount,375,3099
Bullock,4,83
Butler,36,733
Calhoun,577,4395
Chambers,33,395
Cherokee,27,296
Chilton,234,2512
Choctaw,11,229
Clarke,19,391
Clay,28,317
Cleburne,111,759
Coffee,236,3391
Colbert,78,1038
Conecuh,14,188
Coosa,10,255
Covington,298,3141
Crenshaw,68,695
Cullman,546,4181
Dale,420,4430
Dallas,9,135
DeKalb,93,804
Elmore,673,8262
Escambia,50,925
Etowah,135,1499
Fayette,29,393
Franklin,17,161
Geneva,331,2844
Greene,1,71
Hale,9,139
Henry,109,1450
Houston,597,8656
Jackson,48,475
Jefferson,864,14276
Lamar,12,137
Lauderdale,213,2491
Lawrence,40,533
Lee,259,2206
Limestone,268,3365
Lowndes,14,360
Macon,7,73
Madison,1718,21837
Marengo,11,462
Marion,20,263
Marshall,299,2531
Mobile,1337,19065
Monroe,41,1025
Montgomery,613,13725
Morgan,999,11009
Perry,4,37
Pickens,4,80
Pike,118,2386
Randolph,130,768
Russell,52,331
St Clair,844,8928
Shelby,569,4885
Sumter,0,49
Talladega,159,2007
Tallapoosa,97,992
Tuscaloosa,284,3797
Walker,107,893
Washington,16,319
Wilcox,9,155
Winston,628,3917
Total,16718,199690
Percentages,7.73,92.27
