County,Richard L. (Dick ) Ahlgren,Jan Cook,Sonja Stacey
Autauga,1078,4537,424
Baldwin,2118,9230,878
Barbour,480,3651,328
Bibb,711,3813,583
Blount ,1561,4373,778
Bullock,321,2460,289
Butler,751,4955,316
Calhoun,2200,12657,2951
Chambers,1088,5173,784
Cherokee,792,2827,528
Chilton,1214,5722,1100
Choctaw,546,4056,246
Clarke,702,4898,353
Clay,616,1945,461
Cleburne,720,2552,490
Coffee,915,6810,476
Colbert,2123,7167,631
Conecuh,328,3641,196
Coosa,572,2256,408
Covington,1001,7766,577
Crenshaw,402,3858,288
Cullman,1835,9678,1145
Dale,878,5401,571
Dallas,1181,8383,497
Dekalb,1987,7544,997
Elmore,1392,6068,1891
Escambia,870,6242,462
Etowah,3666,13787,2726
Fayette,1125,4264,509
Franklin,1152,3826,718
Geneva,538,4609,473
Greene,337,2984,158
Hale,304,2933,184
Henry,352,3088,136
Houston,1606,12484,857
Jackson,1378,5581,425
Jefferson,20807,100555,19796
Lamar,1163,3298,585
Lauderdale,2167,7382,759
Lawrence,1001,5238,568
Lee,1434,8181,937
Limestone,1554,6232,368
Lowndes,329,2208,110
Macon,549,2720,701
Madison,5908,20710,2664
Marengo,514,4683,301
Marion,1626,5902,1006
Marshall,1947,7158,1017
Mobile,6915,33228,6228
Monroe,604,5191,521
Montgomery,5973,28198,3201
Morgan,3992,12726,1803
Perry,311,3567,196
Pickens,809,5578,453
Pike,918,6002,502
Randolph,623,2379,356
Russell,733,3318,302
Shelby,1761,7537,1570
St. Clair,1252,4513,832
Sumter,593,4320,469
Talladega,1673,7160,1941
Tallapoosa,1494,5300,2677
Tuscaloosa,3267,14922,1017
Walker,2084,9156,1361
Washington,771,4967,417
Wilcox,506,4045,275
Winston,730,2193,458
Calculated,112848,539786,78225
Reported,112848,539786,78225
