Unnamed: 0,Lieutenant Governor,Unnamed: 2,Unnamed: 3
,Folsom (D),Ivey (R),Write-In
Total,718636,764112,1945
Margin,0.030629901265783566,,
Autauga,6351,11628,24
Baldwin,14672,42658,100
Barbour,4935,3378,5
Bibb,2913,3482,11
Blount,5369,11382,32
Bullock,2991,878,
Butler,4105,2966,6
Calhoun,16502,17152,41
Chambers,5548,4759,6
Cherokee,3464,3658,14
Chilton,5516,8004,24
Choctaw,4014,2545,1
Clarke,5866,4722,5
Clay,2773,2469,4
Cleburne,2017,3046,5
Coffee,5742,9380,12
Colbert,9078,7589,20
Conecuh,3117,2109,6
Coosa,2595,1784,2
Covington,4794,7323,21
Crenshaw,3069,2408,0
Cullman,13547,16265,47
Dale,5281,8651,12
Dallas,11477,4182,12
DeKalb,9286,10723,
Elmore,8961,17295,32
Escambia,4629,5922,12
Etowah,16502,15302,50
Fayette,3314,2683,5
Franklin,4874,3710,15
Geneva,3688,5929,13
Greene,3748,562,4
Hale,4622,1837,2
Henry,3166,3597,7
Houston,12864,19710,36
Jackson,7539,7631,30
Jefferson,122705,88752,270
Lamar,2078,2813,1
Lauderdale,13694,13988,39
Lawrence,6788,4705,14
Lee,14201,19386,63
Limestone,10458,15292,49
Lowndes,4091,1220,2
Macon,6560,965,4
Madison,48704,58584,190
Marengo,5648,3189,10
Marion,4377,4408,14
Marshall,10665,14780,48
Mobile,50783,59447,94
Monroe,3696,3831,7
Montgomery,44758,28990,77
Morgan,16206,22702,54
Perry,3427,1015,2
Pickens,4404,2993,4
Pike,5036,4639,8
Randolph,3360,3795,6
Russell,6602,4847,12
St Clair,7941,16679,55
Shelby,19428,43504,127
Sumter,4444,1117,2
Talladega,13129,10786,40
Tallapoosa,7664,8054,2
Tuscaloosa,27575,26350,75
Walker,11291,11070,42
Washington,3148,2870,10
Wilcox,3647,1234,0
Winston,3199,4788,8
