County,Clayton Suddith (D),Unnamed: 2,Richard Shelby (R)
Autauga,3021,,10047
Baldwin,8269,,29953
Barbour,3890,,4848
Bibb,1757,,3882
Blount,3346,,10066
Bullock,2467,,1358
Butler,2742,,4083
Calhoun,11154,,20200
Chambers,4213,,5191
Cherokee,2651,,3206
Chilton,3071,,9583
Choctaw,2641,,2699
Clarke,3424,,4942
Clay,1444,,3226
Cleburne,1332,,2716
Coffee,3713,,9077
Colbert,8015,,9394
Conecuh,2236,,2889
Coosa,1713,,2195
Covington,2728,,7450
Crenshaw,1520,,3038
Cullman,7152,,16807
Dale,3164,,8337
Dallas,8166,,7118
Dekalb,5556,,10754
Elmore,4461,,14451
Escambia,3064,,5468
Etowah,13284,,19626
Fayette,2345,,4775
Franklin,4297,,4401
Geneva,1837,,5614
Greene,2756,,1077
Hale,2941,,2576
Henry,1922,,3474
Houston,5866,,18153
Jackson,5540,,6008
Jefferson,92839,,125365
Lamar,1787,,2554
Lauderdale,9875,,15047
Lawrence,4404,,5765
Lee,9641,,18128
Limestone,5657,,13902
Lowndes,3221,,1673
Macon,5737,,1491
Madison,25876,,54661
Marengo,3795,,4543
Marion,3833,,5366
Marshall,5662,,15808
Mobile,36803,,62076
Monroe,2945,,4386
Montgomery,30202,,37888
Morgan,9817,,24598
Perry,3170,,1580
Pickens,2918,,3819
Pike,3152,,5863
Randolph,2122,,3382
Russell,5340,,4400
Shelby,6882,,34881
St. Clair,4144,,14984
Sumter,3356,,1629
Talladega,7727,,12577
Tallapoosa,4644,,9219
Tuscaloosa,15532,,31060
Walker,8577,,11896
Washington,2460,,3380
Wilcox,2742,,1559
Winston,2010,,5811
Calculated,474568,,817973
