County,Jim Folsom (D),Fob James (R)
Autauga,3686,8422
Baldwin,11721,21593
Barbour,3952,2930
Bibb,3126,2546
Blount ,5956,7010
Bullock,3053,1416
Butler,3202,4196
Calhoun,14958,12587
Chambers,4708,4848
Cherokee,3431,1422
Chilton,5092,6358
Choctaw,3513,1747
Clarke,4393,3619
Clay,2297,2189
Cleburne,2224,1444
Coffee,5380,6600
Colbert,8686,5978
Conecuh,2923,1964
Coosa,1988,1538
Covington,4124,6097
Crenshaw,2028,2391
Cullman,11475,11230
Dale,4269,6552
Dallas,8893,5863
Dekalb,7952,6534
Elmore,5067,11723
Escambia,4723,3706
Etowah,18585,12306
Fayette,3274,2400
Franklin,4882,2883
Geneva,3442,4232
Greene,4153,680
Hale,4066,1750
Henry,2991,2752
Houston,7730,13930
Jackson,5958,3505
Jefferson,99131,108423
Lamar,3077,2056
Lauderdale,12592,10478
Lawrence,5183,3478
Lee,8680,11871
Limestone,7278,8004
Lowndes,3337,1528
Macon,4922,1003
Madison,36606,41635
Marengo,4627,3490
Marion,5730,3567
Marshall,9822,8536
Mobile,50344,46317
Monroe,3427,3381
Montgomery,28037,36147
Morgan,12392,20058
Perry,3472,1423
Pickens,5090,2526
Pike,4103,4697
Randolph,2881,2435
Russell,5274,3368
Shelby,9714,24787
St. Clair,6737,10011
Sumter,3412,1015
Talladega,9334,8780
Tallapoosa,5283,7038
Tuscaloosa,22831,16194
Walker,10786,7992
Washington,4299,2197
Wilcox,3131,1347
Winston,4736,4203
Calculated,594169,604926
Reported,594169,604926
