County,Richard Shelby (D),Jeremiah Denton (R)
Autauga,4768,5602
Baldwin,8763,20839
Barbour,4201,3010
Bibb,3335,1731
Blount,5074,7402
Bullock,3339,1202
Butler,4232,3056
Calhoun,15227,14348
Chambers,4689,4488
Cherokee,4117,2377
Chilton,5985,5549
Choctaw,3466,1947
Clarke,4343,4532
Clay,2450,2532
Cleburne,1531,1826
Coffee,5485,5878
Colbert,10953,5988
Conecuh,3247,2615
Coosa,2197,1711
Covington,5432,6044
Crenshaw,3008,2211
Cullman,10768,13768
Dale,3951,6720
Dallas,12033,5123
Dekalb,8136,8771
Elmore,6854,8094
Escambia,3772,5194
Etowah,18679,12629
Fayette,3260,3224
Franklin,4431,3308
Geneva,3304,3931
Greene,3592,787
Hale,3940,1299
Henry,2238,2689
Houston,8701,15057
Jackson,5899,4223
Jefferson,119492,115618
Lamar,2060,2222
Lauderdale,12873,9479
Lawrence,5452,3135
Lee ,8670,10145
Limestone,6761,6550
Lowndes,3706,1045
Macon,6367,1126
Madison,26601,33583
Marengo,5170,2940
Marion,4844,4478
Marshall,8447,9101
Mobile,37879,63779
Monroe,3825,3686
Montgomery,37778,31413
Morgan,14972,17348
Perry,3797,1421
Pickens,3701,2632
Pike,4388,4277
Randolph,3211,3559
Russell,4859,2749
Shelby,9746,16796
St. Clair,5269,7581
Sumter,4295,1297
Talladega,9087,9200
Tallapoosa,5292,6228
Tuscaloosa,24069,13625
Walker,10660,8286
Washington,3102,2837
Wilcox,3773,1441
Winston,3814,5255
Calculated,609360,602537
Reported,609360,602537
